Lab,num_subs,on_m_contra,on_sd_contra,on_m_ipsi,on_sd_ipsi,on_t_stat,on_df,on_sd,on_p,on_ci1,on_ci2,on_cohensd,on_cohensd_se,on_gz,on_gz_se,corrincorr_m_corr,corrincorr_sd_corr,corrincorr_m_incorr,corrincorr_sd_incorr,corrincorr_t_stat,corrincorr_df,corrincorr_sd,corrincorr_p,corrincorr_ci1,corrincorr_ci2,corrincorr_cohensd,corrincorr_cohensd_se,corrincorr_gz,corrincorr_gz_se,setsize2_m,setsize2_sd,setsize4_m,setsize4_sd,setsize6_m,setsize6_sd,corr_2_4,corr_2_6,corr_4_6,ph_2_4_t_stat,ph_2_4_df,ph_2_4_sd,ph_2_4_p,ph_2_4_ci1,ph_2_4_ci2,ph_2_4_cohensd,ph_2_4_cohensd_se,ph_2_4_gz,ph_2_4_gz_se,ph_2_6_t_stat,ph_2_6_df,ph_2_6_sd,ph_2_6_p,ph_2_6_ci1,ph_2_6_ci2,ph_2_6_cohensd,ph_2_6_cohensd_se,ph_2_6_gz,ph_2_6_gz_se,ph_4_6_t_stat,ph_4_6_df,ph_4_6_sd,ph_4_6_p,ph_4_6_ci1,ph_4_6_ci2,ph_4_6_cohensd,ph_4_6_cohensd_se,ph_4_6_gz,ph_4_6_gz_se,wm_corr_2_4_amp_m,wm_corr_2_4_amp_sd,wm_corr_2_4_wm_m,wm_corr_2_4_wm_sd,wm_corr_2_4_r,wm_corr_2_4_p,wm_corr_2_4_r_se,wmk2_corr_2_4_amp_m,wmk2_corr_2_4_amp_sd,wmk2_corr_2_4_wm_m,wmk2_corr_2_4_wm_sd,wmk2_corr_2_4_r,wmk2_corr_2_4_p,wmk2_corr_2_4_r_se,wmk4_corr_2_4_amp_m,wmk4_corr_2_4_amp_sd,wmk4_corr_2_4_wm_m,wmk4_corr_2_4_wm_sd,wmk4_corr_2_4_r,wmk4_corr_2_4_p,wmk4_corr_2_4_r_se,wmk6_corr_2_4_amp_m,wmk6_corr_2_4_amp_sd,wmk6_corr_2_4_wm_m,wmk6_corr_2_4_wm_sd,wmk6_corr_2_4_r,wmk6_corr_2_4_p,wmk6_corr_2_4_r_se,wm_corr_4_6_amp_m,wm_corr_4_6_amp_sd,wm_corr_4_6_wm_m,wm_corr_4_6_wm_sd,wm_corr_4_6_r,wm_corr_4_6_p,wm_corr_4_6_r_se
Dartmouth,27,-1.51250061043721,1.40202762276578,-0.816064546275309,1.48942142923833,-5.6943232238841,26,0.635507996257855,5.43591586343872e-06,-0.99958134253596,-0.393290785787849,-1.09587301538741,0.258727462005304,-1.06390236547257,0.251179429528018,-0.699121218218542,0.626964264845853,-0.731156665729734,0.887114061093014,0.333754722067417,26,0.498752698288868,0.741241580209448,-0.205875839920105,0.26994673494249,0.0642311262096439,0.200538227217955,0.0623572678146926,0.194687788921816,-0.493316190085902,0.598880162445861,-0.800137667505201,0.689733278973996,-0.803909797064522,0.817830570413285,0.852945824909883,0.485653968980358,0.757105143196813,4.4261809484194,26,0.360195658923533,0.000152829063046811,0.135003634156164,0.478639320682433,0.851818920683978,0.237330369900374,0.826968227107592,0.230406569365363,2.17266876091989,26,0.74281535796365,0.0391067419742166,-0.043738627700372,0.664925841657613,0.41813029799233,0.2098270820807,0.40593189800602,0.203705653694691,0.0363700223306183,26,0.538920762001647,0.971265123782866,-0.253299827647429,0.260844086766073,0.00699941406100506,0.200311134879593,0.00679521538706082,0.194467321702922,-0.306821477419298,0.360195658923533,2.22518243074817,0.496141775396283,-0.377497874690068,0.0522300274898602,0.175035506298992,-0.306821477419298,0.360195658923533,1.70361062522626,0.18133589678813,-0.460382528252702,0.0156713024747663,0.160859609639404,-0.306821477419298,0.360195658923533,2.51439399044299,0.566194841707479,-0.411814433877772,0.032815238283021,0.169506501200204,-0.306821477419298,0.360195658923533,2.45754267657527,0.878097037539785,-0.279270171699538,0.158328583714622,0.188204129842834,-0.00377212955932189,0.538920762001647,2.22518243074817,0.496141775396283,-0.132385903199364,0.510375045522359,0.200546659876553
Florida,33,-0.416795377830894,0.892216283003145,-0.244884155403729,0.954471066783646,-1.91323754181787,32,0.516169458988064,0.0647007460150346,-0.391933648358996,0.0481112035046656,-0.333051906566096,0.185144554527359,-0.325174150014002,0.18076528601468,-0.169262841502819,0.518313601742977,-0.115625814251067,0.994247810202012,-0.354305985544434,32,0.869647355091366,0.725433758382398,-0.424332963325776,0.317058908822272,-0.0616767554546485,0.179973016429604,-0.0602179003788606,0.175716071546759,-0.242659224251181,0.788904007428145,0.0143920992313281,0.717505344354024,-0.279521399488605,0.730106901571953,0.170083447336345,0.26885117254011,0.234171633259261,-1.51930487714165,32,0.971923050690707,0.138505418585896,-0.671343303971383,0.157240657006364,-0.264477031694879,0.183183576177303,-0.258221293090063,0.178850691155429,0.230263585103339,32,0.91962901925639,0.819352667069053,-0.355138948135472,0.42886329861032,0.0400837451467445,0.179865377679029,0.0391356347178988,0.175610978801343,1.88472074639494,32,0.895838022311465,0.0685777892973392,-0.0879464728044573,0.675773470244324,0.328087769663504,0.184988253040108,0.320327431031076,0.18061268156396,0.257051323482509,0.971923050690707,1.70551287375685,0.619007608551108,0.29590166922927,0.0945318564733638,0.166588392178594,0.257051323482509,0.971923050690707,1.50845874606536,0.374138451022169,0.163264471409338,0.363966972491083,0.1777076183988,0.257051323482509,0.971923050690707,1.96354687953711,0.71887540686329,0.286324895834363,0.106220508785255,0.167606398795577,0.257051323482509,0.971923050690707,1.64453299566809,0.922219294565486,0.306413792407971,0.0828583953235559,0.165432402848155,-0.293913498719933,0.895838022311465,1.70551287375685,0.619007608551108,-0.241222034099385,0.176262226067855,0.171950546377866
Mainz,11,-2.79422983136412,1.3344313739109,-2.30283019123798,1.20680257946173,-2.92640607488226,10,0.556924837739638,0.0151335826692645,-0.955489476723019,-0.0273098035292706,-0.882344630418286,0.415272577881512,-0.814179632507698,0.383190947385049,-0.485462443110789,0.565578698704767,-0.430102643130026,0.766885607607673,-0.558735229789425,10,0.328613044633883,0.588634487447866,-0.329195628181043,0.218476028219517,-0.168465010396775,0.340265179957017,-0.155450348454242,0.313978200378731,-0.256264706266044,0.532788705307319,-0.667246507354232,0.553130584718887,-0.532876115712092,0.717415695402367,0.832600435391809,0.817110123940866,0.830371570398458,4.33038639018256,10,0.31476923929103,0.00148865035528489,0.148682124490554,0.673281477685822,1.30566062304519,0.492365019288637,1.20479260552281,0.454327659107563,2.1999727043811,10,0.417012563854515,0.052443491244754,-0.0708884316520088,0.624111250544105,0.663316728132323,0.383243735621366,0.612072597632245,0.353636473858474,-1.10855953482074,10,0.402013746679064,0.293569202635147,-0.469371600715896,0.200630817431616,-0.334243275888301,0.349394118418176,-0.308421514847206,0.322401888249952,-0.410981801088188,0.31476923929103,1.85262504667494,0.656761765436131,-0.416964752718831,0.20201928856492,0.292084737754825,-0.410981801088188,0.31476923929103,1.64891165284123,0.47980033607918,-0.138863933247585,0.683864606110962,0.346735752695419,-0.410981801088188,0.31476923929103,2.12227219608914,0.774063662205324,-0.476238183841945,0.138650899937464,0.273366488917514,-0.410981801088188,0.31476923929103,1.78669129109444,0.800304031879077,-0.482658928939354,0.132658743421398,0.271189719404189,0.13437039164214,0.402013746679064,1.85262504667494,0.656761765436131,-0.348462295798258,0.293619339460181,0.310622826630489
Münster,28,-2.70283545431647,1.62044581051843,-1.85852565078675,1.50123043914626,-8.29485815496124,27,0.538606864132415,6.6544114663003e-09,-1.09599475889097,-0.592624848168458,-1.56758084561311,0.301841370424946,-1.52356104293273,0.293365254118687,-0.841787938041407,0.539395520371853,-0.747584675278479,1.03516037352905,-0.619140411460565,27,0.80511109062844,0.541013292592592,-0.470422658392195,0.282016132866339,-0.117006539668204,0.197139872526088,-0.113720836858731,0.191603916716651,-0.556230280603964,0.610127513706353,-0.946662146917316,0.577658880022848,-1.02247138660294,0.653905448279233,0.579494422546404,0.678716045472992,0.708091268599378,3.78796910422258,27,0.545403404176894,0.000773415469285776,0.135570963908678,0.645292768718027,0.715858873126361,0.222547949491873,0.695756582115211,0.216298500316113,4.85450521352317,27,0.508211635670997,4.50305146633134e-05,0.228759500479593,0.70372271151836,0.917415252374915,0.237835554961652,0.891652984037351,0.231156809027056,0.843177764021971,27,0.475753521611662,0.406537085371385,-0.146505052655727,0.298123532026975,0.159345619615831,0.197773313619695,0.154870977843383,0.192219569922617,-0.390431866313352,0.545403404176894,2.64956621424405,0.439476674801215,-0.128758313139606,0.513763659356456,0.196684259359489,-0.390431866313352,0.545403404176894,1.87548584842279,0.0966870679468348,0.0258047538284051,0.896295926658937,0.199866822935971,-0.390431866313352,0.545403404176894,3.01731654679664,0.479786928604693,-0.0362438657454446,0.85471918186122,0.199737276439165,-0.390431866313352,0.545403404176894,3.05589624751273,0.824558979932872,-0.187814920052683,0.338533820742353,0.192945111161121,-0.075809239685624,0.475753521611662,2.64956621424405,0.439476674801215,0.0750086243938637,0.704429784295635,0.198874741253308
NorthDakota,25,-1.15590861760317,1.13419873975543,-0.633994506817109,1.11370060834572,-4.99858175727613,24,0.522062192967378,4.1718236583721e-05,-0.782126558742294,-0.261701662829829,-0.999716351455226,0.261013229891718,-0.96809055805844,0.252756137297036,-0.519557178400646,0.519799163008357,-0.442786333276627,0.586086352408726,-1.36119635714255,24,0.28199768799403,0.186096220041067,-0.2173274870326,0.0637857967845619,-0.272239271428511,0.21319607269029,-0.263627045630506,0.206451664700869,-0.430214337328741,0.620152429242822,-0.563538561072122,0.562735854115165,-0.564918636801074,0.616315631268033,0.665219237193949,0.572371536114633,0.646992987727853,1.36943080255493,24,0.486787004844054,0.183543634630095,-0.109305945363059,0.375954392849821,0.273886160510986,0.21324775685061,0.26522183576132,0.206501713844843,1.17799261265478,24,0.571753583279089,0.250348623862456,-0.150275922303841,0.419684521248507,0.235598522530956,0.212123970808175,0.228145418270626,0.205413478511515,0.0138637691807998,24,0.497727461758156,0.989053272821917,-0.246703166045318,0.249463317503222,0.00277275383615996,0.208893638098962,0.00268503841584609,0.202285336623444,-0.133324223743381,0.486787004844054,1.60463124006613,0.606879463449454,-0.229003350855762,0.270848862543533,0.202019930389391,-0.133324223743381,0.486787004844054,1.55806672382356,0.365934306797197,-0.268066049857473,0.195121683487319,0.197880239287945,-0.133324223743381,0.486787004844054,1.80336933889777,0.725930885735788,-0.207051002487278,0.3206760733048,0.204060776566435,-0.133324223743381,0.486787004844054,1.45245765747706,0.823457872358564,-0.204665005928197,0.326407923426748,0.204270214925356,-0.00138007572895209,0.497727461758156,1.60463124006613,0.606879463449454,0.245023134201729,0.237803221380301,0.200400926450355
Ohio,19,-1.70561771425884,1.41706800223786,-0.928611188062123,1.00837280957452,-5.59196015765811,18,0.60567186293786,2.62682605531861e-05,-1.13166134741664,-0.422351704976793,-1.28288364334408,0.340792150186731,-1.22854893733563,0.326358384984054,-0.783290202452832,0.598933606601572,-0.839226498750271,0.981665237438899,0.321416399863896,18,0.758581898558171,0.751597120035095,-0.388255920770138,0.500128513365017,0.0737379792528096,0.24371829033352,0.0706149123674022,0.233395949938224,-0.596402724441883,0.472436472737564,-0.91822174080189,0.800421483724409,-0.835246142114722,0.763363465138627,0.670351711267713,0.589161391522128,0.695536247118215,2.34813854653031,18,0.597399404943854,0.0304959812289425,-0.0279918170664556,0.67162984978647,0.538699927882005,0.263151316673555,0.515884061174137,0.252005918179017,1.68672924255508,18,0.617226698096915,0.108909145610311,-0.122577407134708,0.600264242480386,0.38696222702171,0.253752052448107,0.370572994100481,0.243004746376865,-0.591860452629113,18,0.61109379390111,0.561305062009786,-0.440805264363479,0.274854066989142,-0.135782100088871,0.244639048924477,-0.130031243003884,0.234277711113006,-0.321819016360007,0.597399404943854,2.2747789915492,0.448929181953111,-0.315973527429431,0.18755022623662,0.225040182490951,-0.321819016360007,0.597399404943854,1.73809410727013,0.155127270765053,-0.0893514230629106,0.716035934743857,0.248004080799158,-0.321819016360007,0.597399404943854,2.65900618357392,0.468666814192337,-0.270148034285497,0.263326590179799,0.23175500989292,-0.321819016360007,0.597399404943854,2.42723668380354,0.827249248653205,-0.344610709577182,0.148501873097039,0.220310864711178,0.0829755986871682,0.61109379390111,2.2747789915492,0.448929181953111,0.348456452472959,0.143725824259338,0.21964452518249
Reykjavik,22,-2.80375488003926,1.48754617430523,-2.35794649610096,1.34659372547371,-3.36557605130189,21,0.621298297234067,0.00292493211812483,-0.779299167165203,-0.112317600711397,-0.717543225086849,0.254975661616358,-0.691555425585452,0.245741017430261,-0.443531607169436,0.617242212948818,-0.48003100454732,0.466725959093498,0.49627402952314,21,0.344965358855846,0.624855700201372,-0.148665712880972,0.221664507636741,0.105805978603019,0.224856521002162,0.101973924363148,0.216712724252247,-0.387674481706036,0.681350206225612,-0.464098310306067,0.717115148333602,-0.478822029496204,0.659317419934032,0.792841538370083,0.582846853475297,0.758518226447647,0.794193619313158,21,0.451350302211742,0.435966197847243,-0.165844927751616,0.318692584951678,0.16932264856262,0.225968760196247,0.163190163594403,0.2177846806478,0.69787882956657,21,0.612599030822847,0.492908579506379,-0.237673779264245,0.419968874844581,0.148788266393008,0.225553649564429,0.14339949049771,0.21738460438812,0.143475010586748,21,0.481340717454608,0.887282888016739,-0.243642823222036,0.27309026160231,0.0305889750362235,0.224200986847319,0.0294811112554758,0.216080932068043,-0.0764238286000312,0.451350302211742,1.73470327325002,0.507455552723634,-0.257825055012965,0.246687173631697,0.214165607668177,-0.0764238286000312,0.451350302211742,1.61281320056951,0.338406423470411,-0.0572509519346028,0.800219301063157,0.228663784458595,-0.0764238286000312,0.451350302211742,1.92771301577015,0.604800631657366,-0.344175238281529,0.116775174644154,0.202239927278008,-0.0764238286000312,0.451350302211742,1.66358360341038,0.660274661049586,-0.249854773667392,0.262110266747803,0.215093904267952,-0.0147237191901369,0.481340717454608,1.73470327325002,0.507455552723634,0.197881688719701,0.377374181851378,0.220432464646441
Sheffield,16,-2.21794126973883,1.35050558471891,-1.77949429359353,1.08408784663466,-2.71951626295996,15,0.64488965499783,0.0158267244772756,-0.858025131042402,-0.0188688212482152,-0.679879065739989,0.303677436624927,-0.645210391726742,0.288192191401103,-0.440850821380326,0.652251395122348,-0.196972687924933,0.626774410305866,-3.15106916368192,15,0.309581441456436,0.00659192867132208,-0.445298033728272,-0.0424582331825151,-0.787767290920479,0.314812556847657,-0.747597135986388,0.29875950497622,-0.279021638476291,0.67935884908989,-0.616608362439104,0.712606047311805,-0.426922463225584,0.7885711540224,0.665025400682916,0.643992634564193,0.804182675164365,2.36707070636329,15,0.570471719421466,0.0318040251496567,-0.033573628201057,0.708747076126682,0.591767676590823,0.295544584333618,0.5615920149105,0.28047405287154,0.943257036803816,15,0.627192033469257,0.360495206128454,-0.260162902323632,0.555964551822217,0.235814259200954,0.273009212761028,0.223789521138141,0.259087814270072,-1.59657286672457,15,0.475232676608537,0.131209307371755,-0.498881818318297,0.119510019891258,-0.399143216681141,0.281148872955426,-0.378789940986947,0.266812413551319,-0.337586723962813,0.570471719421466,1.91304057961927,0.554533662515888,-0.375018170792087,0.152357140326598,0.238343960720727,-0.337586723962813,0.570471719421466,1.63928645210063,0.178058799262494,-0.311985887802227,0.239449002328771,0.250354172454833,-0.337586723962813,0.570471719421466,2.05887846701383,0.777380551566149,-0.424410201221233,0.101322631594028,0.227392683798082,-0.337586723962813,0.570471719421466,2.04095681974333,0.783860724815576,-0.304136338058721,0.252104390766404,0.251695515758668,0.18968589921352,0.475232676608537,1.91304057961927,0.554533662515888,-0.18395390402915,0.49524902782118,0.2679648373793
Zürich (Prof. Langer),30,-1.76062736230855,1.54894644619467,-0.934619443837776,1.40452819923292,-6.92445918185134,29,0.653369682371885,1.30764742145573e-07,-1.11969860037392,-0.532317236567625,-1.26422749747458,0.259408621158865,-1.2311995346298,0.252631566935345,-0.827072075893757,0.652531335364856,-0.796405353510263,0.661553443030019,-0.517348921232678,29,0.324671704623777,0.608836539345456,-0.176607155339398,0.115273710572409,-0.0944545580867003,0.1896793362217,-0.0919869313017748,0.184723960641223,-0.429428693268964,0.60080886361147,-1.08469490442092,0.858521273159872,-0.967092629991385,0.680443577042807,0.6831630453816,0.701090772637717,0.85004019222216,5.72312734307598,29,0.627111828034168,3.41300048112281e-06,0.373378475350876,0.937153946953041,1.04489531509244,0.239403575904956,1.01759740889083,0.233149153796837,5.88111858143693,29,0.500739208744108,2.20808071071943e-06,0.312580888580628,0.762746984864213,1.07374043680526,0.241905257600579,1.0456889513546,0.235585479019628,-1.41604793270997,29,0.454881625339472,0.167413166388127,-0.322072267965481,0.0868677191064054,-0.258533798417936,0.192663947405269,-0.251779598951997,0.187630598811649,-0.655266211151959,0.627111828034168,2.34624077747115,0.439364746078743,0.0538867665951804,0.777319400522068,0.191891256312789,-0.655266211151959,0.627111828034168,1.82712149232336,0.108135264699644,0.206032955855585,0.274697070471044,0.184280664461846,-0.655266211151959,0.627111828034168,2.66723186002643,0.502478274483003,0.0248364767770269,0.896349259755821,0.192331376780655,-0.655266211151959,0.627111828034168,2.54436898006368,0.849015249544806,0.0427184533755802,0.822649474544688,0.192098894054624,0.117602274429538,0.454881625339472,2.34624077747115,0.439364746078743,-0.24069154829064,0.20010996000808,0.181300990029607
Zürich (Prof. Sauseng),20,-1.75338523452019,1.29301997469634,-0.830862167974065,1.09841355109771,-5.70861533986377,19,0.722705652701388,1.67547598792783e-05,-1.33290836683029,-0.512137766261965,-1.27648519573335,0.329597538214882,-1.22531135473898,0.316384089230812,-0.916379390566653,0.723192219263132,-0.710144397109968,0.720928076650845,-2.0659801453131,19,0.446427779816327,0.0527401675603167,-0.459737090458842,0.0472671035454726,-0.461967204508499,0.250582535655046,-0.443447102319183,0.240536770237289,-0.625219057427978,0.659081969891471,-1.14277956661698,0.844822005110851,-0.981139547655,0.812638859915025,0.777755339329692,0.818463340962145,0.841703228199439,4.35869133174116,19,0.531031171025229,0.000338041330264938,0.216016739928513,0.81910427844949,0.974633011071231,0.294339276727184,0.935560317629012,0.28253931900266,3.40878574688753,19,0.466947746105399,0.00294534191418228,0.0907662185173824,0.621074761936661,0.76222766507729,0.273298185566383,0.73167022699297,0.262341757760584,-1.54685335395901,19,0.467320408050675,0.138393427858125,-0.427005905156361,0.103725867232402,-0.34588692506759,0.244449621799841,-0.332020440313514,0.234649722734085,-0.517560509189001,0.531031171025229,2.35960717909549,0.609902235817995,-0.0512371467579217,0.830137209829896,0.241898909548963,-0.517560509189001,0.531031171025229,1.77046840636846,0.202508322293225,0.0868555449655272,0.715777134206635,0.240705964005001,-0.517560509189001,0.531031171025229,2.65832910871875,0.710199359762238,-0.0797510343011394,0.738209460352817,0.240993043291014,-0.517560509189001,0.531031171025229,2.65002402219927,1.00244532788775,-0.0545653580937091,0.819272488786827,0.241813504728428,0.161640018961979,0.467320408050675,2.35960717909549,0.609902235817995,0.0275424194770286,0.908236154325716,0.242351641180587
