Lab,num_subs,on_m_contra,on_sd_contra,on_m_ipsi,on_sd_ipsi,on_t_stat,on_df,on_sd,on_p,on_ci1,on_ci2,on_cohensd,on_cohensd_se,on_gz,on_gz_se,corrincorr_m_corr,corrincorr_sd_corr,corrincorr_m_incorr,corrincorr_sd_incorr,corrincorr_t_stat,corrincorr_df,corrincorr_sd,corrincorr_p,corrincorr_ci1,corrincorr_ci2,corrincorr_cohensd,corrincorr_cohensd_se,corrincorr_gz,corrincorr_gz_se,setsize2_m,setsize2_sd,setsize4_m,setsize4_sd,setsize6_m,setsize6_sd,corr_2_4,corr_2_6,corr_4_6,ph_2_4_t_stat,ph_2_4_df,ph_2_4_sd,ph_2_4_p,ph_2_4_ci1,ph_2_4_ci2,ph_2_4_cohensd,ph_2_4_cohensd_se,ph_2_4_gz_se,ph_2_6_t_stat,ph_2_6_df,ph_2_6_sd,ph_2_6_p,ph_2_6_ci1,ph_2_6_ci2,ph_2_6_cohensd,ph_2_6_cohensd_se,ph_2_6_gz_se,ph_4_6_t_stat,ph_4_6_df,ph_4_6_sd,ph_4_6_p,ph_4_6_ci1,ph_4_6_ci2,ph_4_6_cohensd,ph_4_6_cohensd_se,ph_4_6_gz_se,wm_corr_2_4_amp_m,wm_corr_2_4_amp_sd,wm_corr_2_4_wm_m,wm_corr_2_4_wm_sd,wm_corr_2_4_r,wm_corr_2_4_p,wm_corr_2_4_r_se,wmk2_corr_2_4_amp_m,wmk2_corr_2_4_amp_sd,wmk2_corr_2_4_wm_m,wmk2_corr_2_4_wm_sd,wmk2_corr_2_4_r,wmk2_corr_2_4_p,wmk2_corr_2_4_r_se,wmk4_corr_2_4_amp_m,wmk4_corr_2_4_amp_sd,wmk4_corr_2_4_wm_m,wmk4_corr_2_4_wm_sd,wmk4_corr_2_4_r,wmk4_corr_2_4_p,wmk4_corr_2_4_r_se,wmk6_corr_2_4_amp_m,wmk6_corr_2_4_amp_sd,wmk6_corr_2_4_wm_m,wmk6_corr_2_4_wm_sd,wmk6_corr_2_4_r,wmk6_corr_2_4_p,wmk6_corr_2_4_r_se,wm_corr_4_6_amp_m,wm_corr_4_6_amp_sd,wm_corr_4_6_wm_m,wm_corr_4_6_wm_sd,wm_corr_4_6_r,wm_corr_4_6_p,wm_corr_4_6_r_se
Dartmouth,23,-2.22061492131862,1.55859477299105,-1.47922970018488,1.6931219772296,-5.12553020479631,22,0.693695768508827,3.88950339729188e-05,-1.0413617663139,-0.441408675953587,-1.06874692738494,0.280775753000569,-1.03182242512425,0.271075135706835,-0.742095146174197,0.686063709858136,-0.68086071695816,0.864156376920998,-0.59722049792306,22,0.491727941300777,,-0.273873536583002,0.151404678150929,-0.124529082187301,0.219652187908767,-0.120226684436322,0.212063349521323,-0.610640393408346,0.624454137619999,-0.86546748770731,0.77315819491754,-0.750177557406934,0.745652574547529,0.889638906760118,0.847707721132889,0.905425133481732,3.40688453245751,22,0.358717121226179,,0.0997061787516298,0.409948009846299,0.710384532045489,0.248044751227774,0.239474968482412,1.69153380991176,22,0.395615343812131,,-0.031539739515078,0.310614067512254,0.352709181231483,0.226281671279995,0.218463788609516,-1.66858612289026,22,0.331365024837518,,-0.258582912406884,0.0280030518061321,-0.347924257718229,0.226080476496111,0.21826954497287,-0.254827094298964,0.358717121226179,2.21536348851362,0.520685673151118,-0.379844011662239,0.0738122364709136,0.191344479554047,-0.254827094298964,0.358717121226179,1.7122242082718,0.188601310134095,-0.464513866741819,0.0255443052890033,0.175358458574553,-0.254827094298964,0.358717121226179,2.52976991126108,0.581468400598551,-0.427342553561465,0.0419601795737213,0.182771353585927,-0.254827094298964,0.358717121226179,2.40409634600798,0.925415225108364,-0.277976720897532,0.199045535398807,0.206328464054743,0.115289930300376,0.331365024837518,2.21536348851362,0.520685673151118,-0.296185909906025,0.169980266163883,0.203990646964405
Florida,26,-0.333552780610827,1.0196926854655,-0.0681226862883961,0.97660873989024,-2.76271339348358,25,0.489892738652225,0.0105951937714339,-0.463302053682171,-0.0675581349626915,-0.541812673224496,0.220603098131915,-0.525366263572336,0.213906818953318,-0.262914137982872,0.495612636109049,-0.114058024707492,0.896350117761305,-0.981772487071267,25,0.773112137795775,,-0.461122863607938,0.163410637057177,-0.19254142574942,0.206572734682018,-0.186696942370985,0.200302339053712,-0.305999405348681,0.752599941489764,-0.137588724606912,0.67854281952762,-0.345154283993024,0.706831953695689,0.260040444842707,0.132882354387975,0.289066306869608,-0.984229685683942,25,0.872488769532481,,-0.520816521297243,0.183995159813705,-0.193023322044604,0.20658324326368,0.200312528653469,0.207627980375448,25,0.961582778481193,,-0.349236810908192,0.427546568196878,0.0407191970577796,0.204559928073119,0.198350630022771,1.28088762554035,25,0.826287034518816,,-0.126178996541783,0.541310115314007,0.2512027306673,0.208039799077909,0.201724871560201,0.168410680741769,0.872488769532481,1.75178104176785,0.604155399377808,0.334854470475303,0.0944992941697569,0.185134210675818,0.168410680741769,0.872488769532481,1.51640209025002,0.385569771691508,0.175089003962314,0.392268274230017,0.202122162961619,0.168410680741769,0.872488769532481,2.00174370228208,0.689949712893493,0.300489805966901,0.135812591089778,0.189686787804755,0.168410680741769,0.872488769532481,1.73719733277144,0.895513203391581,0.370827057752958,0.0621836211278431,0.179841032581253,-0.207565559386112,0.826287034518816,1.75178104176785,0.604155399377808,-0.223070416857644,0.273352429093167,0.198138651139809
Mainz,11,-2.91469938923393,1.35493719377927,-2.42263380713679,1.22214437019512,-2.93018253143826,10,0.556960834539881,0.0150360636758968,-0.866236962013777,-0.117894202180503,-0.883483274912224,0.415455425334797,-0.815230311713613,0.383359669069511,-0.486155624248226,0.565684632065281,-0.436045859265421,0.762091239013546,-0.519811096441446,10,0.31972247210305,,-0.264902244378573,0.164682714412962,-0.156728942614502,0.339841244801055,-0.144620943452336,0.313587016075467,-0.256270349277681,0.532917317215581,-0.667208473093714,0.553102032348148,-0.534988050373285,0.717081504132266,0.832467889258287,0.817002572462823,0.832894061481872,4.32795022124912,10,0.314912949335408,,0.199376725780225,0.622499521851841,1.30492609047445,0.492217886952684,0.45419189339076,2.21748907252456,10,0.416868812756825,,-0.00133857798242276,0.55877398017363,0.668598111843377,0.383936424247552,0.354275649246036,-1.098223216525,10,0.399304554108252,,-0.400476872280499,0.136036026839641,-0.331126758660969,0.349169865646541,0.322194959989832,-0.410938123816033,0.314912949335408,1.85262504667494,0.656761765436131,-0.418528101349823,0.200159063720789,0.291622938121317,-0.410938123816033,0.314912949335408,1.64891165284123,0.47980033607918,-0.140489953826756,0.680331152340598,0.346575156311203,-0.410938123816033,0.314912949335408,2.12227219608914,0.774063662205324,-0.47779414411519,0.137183400171626,0.272841661394576,-0.410938123816033,0.314912949335408,1.78669129109444,0.800304031879077,-0.484027990257667,0.131402719546486,0.270721807872577,0.132220422720429,0.399304554108252,1.85262504667494,0.656761765436131,-0.357786001688211,0.279999812093516,0.308294730087561
Münster,26,-2.66086291518077,1.99887506453559,-1.7645903826233,1.81546915407071,-8.60804930718397,25,0.530911356327122,6.02405481053836e-09,-1.11071227014534,-0.681832794969607,-1.68817736120384,0.329243511210702,-1.63693371589997,0.319249515262875,-0.896529617268216,0.535769110546858,-0.794300869831794,0.989967386425299,-0.697072403140603,25,0.747793738039177,,-0.404269174795763,0.199811679922919,-0.136707145615421,0.205530354399089,-0.132557479447984,0.199291599620091,-0.525485726917374,0.671764837319151,-1.11054148921089,0.559898769249623,-1.05356163567638,0.687677235505242,0.507966198444841,0.534528642885243,0.610096587929426,4.82267188831804,25,0.618580491801814,,0.335205694559757,0.834905830027281,0.945803771776501,0.250417758486553,0.24281647257396,4.10480735936303,25,0.655979471796276,,0.263120066095986,0.793031751422031,0.805018954805052,0.238640488069683,0.231396694374295,-0.516379457666224,25,0.562650935742544,,-0.284239484688185,0.170279777619164,-0.101270343502251,0.205050401024646,0.198826214952141,-0.585055762293519,0.618580491801814,2.69472872598022,0.448704409771793,-0.143342265844916,0.484815221126072,0.204230067311849,-0.585055762293519,0.618580491801814,1.88091014969065,0.0995771704074561,0.0249779510953312,0.903597761502464,0.208384322322641,-0.585055762293519,0.618580491801814,3.04055630950281,0.497880718404353,-0.0988188920358033,0.631030778266246,0.206478234642574,-0.585055762293519,0.618580491801814,3.16271971874721,0.826342460709619,-0.176975213136499,0.387107242170175,0.201983695471057,0.0569798535345106,0.562650935742544,2.69472872598022,0.448704409771793,0.0152236930373642,0.941159799075817,0.208466088583469
NorthDakota,22,-1.67872031224625,1.5785305354869,-1.16267001024362,1.43726797494247,-4.6139696445239,21,0.524600432134947,0.000149818147695102,-0.748645103291421,-0.283455500713833,-0.983701633455536,0.279293762256473,-0.948074175867395,0.269178371236464,-0.512833390772405,0.524095992086225,-0.369006865087822,0.599994968789733,-2.2296453614886,21,0.302562108936116,,-0.277975049579454,-0.00967800178971268,-0.475361988288333,0.238166051314429,-0.458145447722812,0.229540213353448,-0.325806925155049,0.643995736800342,-0.637544608025362,0.611332612057653,-0.575148639136805,0.557995191718264,0.576244592350501,0.595838257186083,0.71868711676903,2.52728675552052,21,0.57855695934457,,0.0552198976192654,0.568255468121361,0.538819346713022,0.242011778337925,0.233246656805823,2.14287595819777,21,0.545769483467917,,0.00736108114069617,0.491322346822816,0.45686268934898,0.237124935021979,0.228536803948221,-0.663145613641265,21,0.441325449198644,,-0.25806871117414,0.133276773397025,-0.141383119876398,0.225416932418684,0.217252838829468,-0.311737682870313,0.57855695934457,1.67070112274767,0.607547639682717,-0.155975426813773,0.488217900880373,0.223834431324929,-0.311737682870313,0.57855695934457,1.58614886311726,0.348922637976811,-0.232288174634354,0.298225795849991,0.217036966485987,-0.311737682870313,0.57855695934457,1.87761955914179,0.742313627635994,-0.11344721380754,0.615187869299757,0.226463091359827,-0.311737682870313,0.57855695934457,1.54833494598397,0.819324398079273,-0.145270288564276,0.518900984707312,0.224574268855453,0.0623959688885573,0.441325449198644,1.67070112274767,0.607547639682717,0.524713321332183,0.012169755904632,0.166252060394845
Ohio,20,-1.87860037647668,1.56344083840061,-1.00019634193805,1.16311718720772,-6.68986338183291,19,0.587208144869558,2.14090806349709e-06,-1.1532259059047,-0.603582163172559,-1.4958989281965,0.358229230437621,-1.43592886810411,0.34386794701716,-0.875659468205866,0.585038772663461,-0.876993113696313,0.929273118438102,0.00940594085560153,19,0.634093286425503,,-0.295431147570841,0.298098438551735,0.00210323231454675,0.236394788763381,0.00201891447333827,0.226917805111311,-0.641843334181232,0.464319832656921,-1.01923141859417,0.76916217304633,-0.965903651842191,0.792830842963379,0.602952415351663,0.561531246656288,0.656383724709957,2.75044835072031,19,0.613620256075536,,0.09020496449851,0.664571204327373,0.615018948081279,0.261013633026315,0.250549688596332,2.20816370622517,19,0.656310849650554,,0.016897384934801,0.631223250387116,0.493760415256735,0.252537800249215,0.242413648963938,-0.368152057445687,19,0.647800326707556,,-0.35650765213465,0.249852118630684,-0.0823213026504963,0.236858082588848,0.227362525650823,-0.377388084412941,0.613620256075536,2.28960671717753,0.463537596980034,-0.443174870002089,0.0503407924892004,0.194900666528098,-0.377388084412941,0.613620256075536,1.74292805711618,0.152528732129989,-0.201830570417629,0.39347781490211,0.232655795884732,-0.377388084412941,0.613620256075536,2.68955696209136,0.480509658226438,-0.446089891325921,0.0486700866754805,0.194271959437574,-0.377388084412941,0.613620256075536,2.43633513232506,0.869766160519372,-0.426722948609928,0.0606062041804975,0.19837171282924,0.0533277667519831,0.647800326707556,2.28960671717753,0.463537596980034,0.406914950738277,0.0749808543328287,0.20237663029568
Reykjavik,24,-2.94131055569837,1.53882599078021,-2.50215556896178,1.28951710431762,-3.44731379008089,23,0.62408338840435,0.00219184362184044,-0.702682289670279,-0.175627683802904,-0.703679980746513,0.241640519188477,-0.680438923593078,0.233659645395411,-0.435807221119911,0.624435851583055,-0.447671817571421,0.505314386206096,0.152932377957856,23,0.380066114165114,,-0.14862324838362,0.17235244128664,0.031217190928934,0.21368206197583,0.0301861533288884,0.206624596720423,-0.347096665001401,0.73082652506621,-0.523328835233231,0.717237353232508,-0.436996163125101,0.679304480185546,0.693881378751746,0.494879541152641,0.800956518575468,1.52358757280334,23,0.566661084714698,,-0.0630478204023533,0.415512160866013,0.311001010984474,0.21937735109312,0.21213178251873,0.620247100117061,23,0.710065064371269,,-0.209934682368793,0.389733678616191,0.126607409143979,0.214587583553794,0.207500210841414,-0.956804346516676,23,0.44203602453481,,-0.272988115129975,0.100322770913714,-0.195306869386913,0.215910887202762,0.208779808577781,-0.17623217023183,0.566661084714698,1.76282372523551,0.4786014363161,-0.148543248532231,0.488484836557335,0.213402891389646,-0.17623217023183,0.566661084714698,1.63334159369654,0.32464358277045,0.0875505004769019,0.684159227571624,0.216545230438535,-0.17623217023183,0.566661084714698,1.99797420130282,0.574425107390694,-0.214367163182072,0.314476312511482,0.208190062282968,-0.17623217023183,0.566661084714698,1.65715538070717,0.651178373325843,-0.182075862130475,0.394480901587531,0.2109836137554,0.0863326721081306,0.44203602453481,1.76282372523551,0.4786014363161,0.129095935466978,0.547706152343943,0.2145811231287
Sheffield,15,-2.35054752063989,1.41470960842872,-1.91183973255436,1.19374343938178,-2.53000299077149,14,0.671583378875235,0.0240308402163256,-0.810618266928405,-0.0667973092426645,-0.653243963274197,0.313165167709041,-0.617503502726847,0.296031190281666,-0.43947856117805,0.678920241775466,-0.169845158206901,0.643088535810794,-3.78302133110175,14,0.276045411296784,,-0.422502256380989,-0.116764549561307,-0.976771907580301,0.35093134844457,-0.923330498567265,0.331731097513745,-0.299788906708618,0.683156564036874,-0.584962060136044,0.736436997248958,-0.433684716689486,0.812929825161774,0.73299565410944,0.702000452363024,0.802802880703978,2.11967722249015,14,0.521056160009289,,-0.00337813010438848,0.57372443695924,0.547298305469303,0.303353449672013,0.286756293617845,0.879278580889363,14,0.589774678303126,,-0.192710520545761,0.460502140507496,0.227028753364093,0.283247338283133,0.267750233237861,-1.19108933641687,14,0.491898142241415,,-0.423681454949904,0.121126768056787,-0.30753794425252,0.286837701247443,0.271144159291781,-0.285173153427426,0.521056160009289,1.85194762855956,0.515256528505486,-0.263854804322345,0.341990897565727,0.268577757121891,-0.285173153427426,0.521056160009289,1.62421181512907,0.173418428079139,-0.173693745824274,0.535858880746121,0.27996594511647,-0.285173153427426,0.521056160009289,1.9742761462059,0.724420713626621,-0.322227907830681,0.241482733057694,0.258701757332666,-0.285173153427426,0.521056160009289,1.95735492434373,0.733832312451377,-0.196650463268203,0.482394544424093,0.277511661637031,0.151277343446558,0.491898142241415,1.85194762855956,0.515256528505486,-0.152367828240367,0.587745993344418,0.281973265636571
Zürich (Prof. Langer),30,-1.7453888543483,1.59239650235115,-1.08902870471339,1.57256604624475,-6.18445762324345,29,0.581301193578171,9.61444263314348e-07,-0.873421582621803,-0.439298716648008,-1.12912231539507,0.246823550562599,-1.09962397751319,0.240375281502258,-0.655957458771034,0.581542534147342,-0.604217891524094,0.638981249887108,-0.780662449219123,29,0.363011287721744,,-0.1872902097947,0.0838110753008198,-0.142528811078182,0.190270124394705,-0.138805243693352,0.185299314464108,-0.300228744190446,0.564093474065633,-0.846930608564973,0.696366556799391,-0.820713023557682,0.626365046461376,0.779350151449261,0.750911669291434,0.80854917668123,6.8544090904277,29,0.436858873460343,,0.383576080127204,0.709827648621849,1.25143815906524,0.258183891527499,0.251438833384463,6.72133286353662,29,0.424143523947202,,0.362106484659145,0.678862074075328,1.2271418752866,0.255875781682435,0.249191022944654,-0.346335915548323,29,0.414625283348602,,-0.181041210264724,0.128606040250144,-0.0632319978066736,0.189423457951701,0.184474767194969,-0.546701864374527,0.436858873460343,2.25671656135028,0.618827921894961,0.0502950093471404,0.791827248764698,0.191963270298987,-0.546701864374527,0.436858873460343,1.74922752114148,0.345703326236452,0.162597451198773,0.390630565300426,0.187362107510415,-0.546701864374527,0.436858873460343,2.55411549873472,0.736508049528805,0.0445780119963925,0.815058735221875,0.192067653074463,-0.546701864374527,0.436858873460343,2.46680666417464,0.947499581369804,0.0045692093682581,0.980881930323817,0.192446071819592,0.0262175850072902,0.414625283348602,2.25671656135028,0.618827921894961,-0.223108418867497,0.235977885751234,0.182870431067048
Zürich (Prof. Sauseng),20,-1.75452974408082,1.30740692490561,-0.835237136849804,1.09091120423216,-5.62060549525189,19,0.731451713776415,2.026895387508e-05,-1.26162254687892,-0.576962667583114,-1.25680559620921,0.327139897404423,-1.20642070341436,0.314024974373083,-0.913738477113495,0.731409986191982,-0.715615423551567,0.706405882027806,-1.93225585107864,19,0.458548608277726,,-0.412730408279708,0.0164843011558533,-0.432065543293354,0.24884960518566,-0.414744188149132,0.238873312338828,-0.606136257090473,0.679112320755977,-1.1447179903932,0.845199967147013,-0.990361183856814,0.81511986571334,0.778849336785531,0.837447369232428,0.837098526609947,4.54002736408279,19,0.530527801057805,,0.29028707940139,0.786876387204057,1.01518098057983,0.298743558726545,0.286767034891044,3.85710213252888,19,0.445491472809988,,0.175728499554039,0.592721353978643,0.862474256449397,0.2827805341172,0.27144396230455,-1.4541165700308,19,0.47472440562014,,-0.376534667445742,0.0678210543729767,-0.325150349779771,0.243526425500149,0.23376353704823,-0.538581733302724,0.530527801057805,2.35960717909549,0.609902235817995,-0.0416584774666443,0.861565679258185,0.242114721740997,-0.538581733302724,0.530527801057805,1.77046840636846,0.202508322293225,0.105796198100267,0.657100729634378,0.239820963674536,-0.538581733302724,0.530527801057805,2.65832910871875,0.710199359762238,-0.0760885663807442,0.749854982363621,0.241131472327291,-0.538581733302724,0.530527801057805,2.65002402219927,1.00244532788775,-0.0435029760559457,0.855496642505535,0.242076624201146,0.154356806536383,0.47472440562014,2.35960717909549,0.609902235817995,0.0170346867455513,0.943174181408394,0.242465245914654
