Lab,num_subs,on_m_contra,on_sd_contra,on_m_ipsi,on_sd_ipsi,on_t_stat,on_df,on_sd,on_p,on_ci1,on_ci2,on_cohensd,on_cohensd_se,on_gz,on_gz_se,corrincorr_m_corr,corrincorr_sd_corr,corrincorr_m_incorr,corrincorr_sd_incorr,corrincorr_t_stat,corrincorr_df,corrincorr_sd,corrincorr_p,corrincorr_ci1,corrincorr_ci2,corrincorr_cohensd,corrincorr_cohensd_se,corrincorr_gz,corrincorr_gz_se,setsize2_m,setsize2_sd,setsize4_m,setsize4_sd,setsize6_m,setsize6_sd,corr_2_4,corr_2_6,corr_4_6,ph_2_4_t_stat,ph_2_4_df,ph_2_4_sd,ph_2_4_p,ph_2_4_ci1,ph_2_4_ci2,ph_2_4_cohensd,ph_2_4_cohensd_se,ph_2_4_gz,ph_2_4_gz_se,ph_2_6_t_stat,ph_2_6_df,ph_2_6_sd,ph_2_6_p,ph_2_6_ci1,ph_2_6_ci2,ph_2_6_cohensd,ph_2_6_cohensd_se,ph_2_6_gz,ph_2_6_gz_se,ph_4_6_t_stat,ph_4_6_df,ph_4_6_sd,ph_4_6_p,ph_4_6_ci1,ph_4_6_ci2,ph_4_6_cohensd,ph_4_6_cohensd_se,ph_4_6_gz,ph_4_6_gz_se,wm_corr_2_4_amp_m,wm_corr_2_4_amp_sd,wm_corr_2_4_wm_m,wm_corr_2_4_wm_sd,wm_corr_2_4_r,wm_corr_2_4_p,wm_corr_2_4_r_se,wmk2_corr_2_4_amp_m,wmk2_corr_2_4_amp_sd,wmk2_corr_2_4_wm_m,wmk2_corr_2_4_wm_sd,wmk2_corr_2_4_r,wmk2_corr_2_4_p,wmk2_corr_2_4_r_se,wmk4_corr_2_4_amp_m,wmk4_corr_2_4_amp_sd,wmk4_corr_2_4_wm_m,wmk4_corr_2_4_wm_sd,wmk4_corr_2_4_r,wmk4_corr_2_4_p,wmk4_corr_2_4_r_se,wmk6_corr_2_4_amp_m,wmk6_corr_2_4_amp_sd,wmk6_corr_2_4_wm_m,wmk6_corr_2_4_wm_sd,wmk6_corr_2_4_r,wmk6_corr_2_4_p,wmk6_corr_2_4_r_se,wm_corr_4_6_amp_m,wm_corr_4_6_amp_sd,wm_corr_4_6_wm_m,wm_corr_4_6_wm_sd,wm_corr_4_6_r,wm_corr_4_6_p,wm_corr_4_6_r_se
Dartmouth,27,-1.50829755232326,1.4108424379166,-0.808453292282684,1.49723846971115,-5.73698005494235,26,0.633869633936479,4.8649122694755e-06,-0.950594735935882,-0.449093784145278,-1.10408232635216,0.259505634951524,-1.0718721806169,0.251934900304837,-0.703745412588919,0.625621460581979,-0.73658601456892,0.86981273890754,0.346258490171796,26,0.492824806857049,0.731934946493089,-0.162114398601079,0.227795602561081,0.0666374775032934,0.200555759120542,0.0646934169830035,0.194704809354268,-0.509339012570574,0.606283789414899,-0.813203572929915,0.700227916238963,-0.788693652266266,0.810922106488547,0.826541869103283,0.461688611125019,0.749655066723286,3.99626792182797,26,0.395100279153366,0.000472076789515885,0.147568095408314,0.460161025310368,0.769082120140416,0.230935325220274,0.746645163601178,0.224198091679601,1.92063441900176,26,0.755775942307413,0.065808791631746,-0.0196203656644722,0.578329645055856,0.369626266275176,0.20778403430971,0.358842907443921,0.201722209147914,-0.23386619135563,26,0.544573300221495,0.816920539913338,-0.239935943428606,0.190916102101308,-0.0450075695111752,0.200421279854331,-0.0436945330296164,0.194574253343288,-0.303864560359341,0.395100279153366,2.22518243074817,0.496141775396283,-0.378594676221118,0.0514947532620692,0.174866229520043,-0.303864560359341,0.395100279153366,1.70361062522626,0.18133589678813,-0.49897351107981,0.00806220539769739,0.153302425015944,-0.303864560359341,0.395100279153366,2.51439399044299,0.566194841707479,-0.437180399743376,0.0225905124027483,0.165110570571559,-0.303864560359341,0.395100279153366,2.45754267657527,0.878097037539785,-0.25680397321927,0.195988660930023,0.190662508812448,0.024509920663649,0.544573300221495,2.22518243074817,0.496141775396283,-0.107136791132809,0.594800889657014,0.201781148685803
Florida,40,-0.441420495691874,0.964772806969107,-0.336440869144698,1.00128770844065,-1.5609041364551,39,0.425362096300019,0.126625385254556,-0.241017024646501,0.0310577715521478,-0.246800614018818,0.164963691485603,-0.242018664228044,0.161767394372968,-0.1024496823806,0.425650522297359,0.0712390184379679,0.887688731429154,-1.51536974084781,39,0.724908098158185,0.137742619319662,-0.405525557915993,0.0581481562788585,-0.239600993918909,0.164813470163742,-0.234958542248783,0.161620083703584,-0.192563062636291,0.639149279300199,-0.00800502966587711,0.660297092232444,-0.106780954839631,0.629869952365205,0.0709944735616489,0.221941877368957,0.181223999566235,-1.31778373609203,39,0.885765590638917,0.195264806124144,-0.467839611946458,0.0987235460056304,-0.208359903478853,0.164211763729126,-0.204322771720459,0.16103003578923,-0.685408126042074,39,0.791548371899176,0.497140517157279,-0.338931558393148,0.167367342799828,-0.108372540254036,0.162841935303502,-0.106272739780469,0.159686748832229,0.756472999352702,39,0.825824323688224,0.453911315873559,-0.165335506613158,0.362887356960665,0.119608883318681,0.162953166721327,0.117291370143787,0.159795825056651,0.184558032970414,0.885765590638917,1.69293522466153,0.592652134656397,-0.0227804735351698,0.889034762516727,0.16431367245509,0.184558032970414,0.885765590638917,1.49989479722679,0.37111460029512,-0.0660456731932624,0.68554619318125,0.163681873834985,0.184558032970414,0.885765590638917,1.95021500557036,0.689208416653768,-0.0161193971435123,0.921359351857116,0.164356270700365,0.184558032970414,0.885765590638917,1.62869587118745,0.863399027480866,-0.00565503418566311,0.972373434449623,0.164393729922469,-0.0987759251737534,0.825824323688224,1.69293522466153,0.592652134656397,-0.0456250106889903,0.779820243421854,0.164056767534324
Mainz,25,-2.44135259382915,1.35692466018976,-2.17770646806553,1.29270997163705,-2.61650677630367,24,0.503813191219918,0.0151285449279202,-0.471609989901222,-0.0556822616260158,-0.523301355260734,0.224381459958059,-0.506746839050568,0.217283204853626,-0.256490801642168,0.502459873487746,-0.306206127213338,0.665514367019223,0.754775153665856,24,0.32933864694478,0.457726985184305,-0.0862289863724001,0.185659637514741,0.150955030733171,0.210225544302782,0.146179603576035,0.203575108285437,0.0106255960553141,0.527653469464647,-0.440613027719699,0.537367628444512,-0.339484973262119,0.593791177436229,0.696732596331033,0.656801878541535,0.855168779429117,5.43900102588877,24,0.414817557146239,1.37356346812112e-05,0.280010351868579,0.622466895681448,1.08780020517776,0.269506736907763,1.05338789963143,0.260980954201419,3.73700907352002,24,0.468436873485635,0.00102123214307359,0.156749331437327,0.543471807197539,0.747401814704003,0.239427099369128,0.72375793277509,0.231852878974296,-1.63526931419745,24,0.309209173007723,0.115042132905077,-0.228763327940146,0.0265072190249859,-0.327053862839491,0.215075729448411,-0.316707590238541,0.208271858956249,-0.451238623775013,0.414817557146239,2.08825748276887,0.688370075880554,-0.528089214122081,0.00665955418368229,0.153743680486667,-0.451238623775013,0.414817557146239,1.67282781805003,0.36861344496408,-0.209529382018901,0.314787721646611,0.203840658702454,-0.451238623775013,0.414817557146239,2.36007429886019,0.775777854040866,-0.555315520247632,0.00395641594828213,0.147454875726867,-0.451238623775013,0.414817557146239,2.2318703313964,1.03186276259592,-0.564537871087415,0.00328360262132638,0.145253006768367,0.10112805445758,0.309209173007723,2.08825748276887,0.688370075880554,-0.083987981108799,0.689784850486666,0.211696802559492
Münster,28,-2.77394004188672,1.68872818360091,-2.0465567479675,1.53197886171171,-6.71538330593287,27,0.573154268597902,3.28950462202826e-07,-0.949629317958213,-0.505137269880228,-1.26908815614094,0.270195123188704,-1.23345043425013,0.262607676556365,-0.725785545201925,0.574556835755525,-0.511317622515217,1.05141316712307,-1.53990254351843,27,0.736967141223333,0.135223225419546,-0.50023394757376,0.0712981022003445,-0.291014226673255,0.20095290056199,-0.282842151292781,0.195309869738065,-0.530747633443113,0.600154501805031,-0.795833330913473,0.606738873746362,-0.850775671249186,0.785495325434676,0.614411046280956,0.483795350098163,0.757589238116257,2.64680566564097,27,0.529960201257793,0.0133923663041819,0.0595885842471158,0.470582810693604,0.500199254285912,0.20957251454071,0.486152978754952,0.203687433230148,2.3460006438847,27,0.721836631042682,0.0265702042591167,0.0401290122830094,0.599927063329138,0.443352448522594,0.206818450323187,0.430902508631811,0.20101070688248,0.566885992334521,27,0.512850100167553,0.575474596091513,-0.143920168302777,0.253804848974204,0.107131382674515,0.197019814627724,0.104122987707579,0.1914872302074,-0.26508569747036,0.529960201257793,2.64956621424405,0.439476674801215,-0.151621599631393,0.441183522903024,0.195402178105044,-0.26508569747036,0.529960201257793,1.87548584842279,0.0966870679468348,-0.0619290645774383,0.754236631054295,0.199232958192113,-0.26508569747036,0.529960201257793,3.01731654679664,0.479786928604693,-0.00695998641732184,0.971960123223743,0.199990311717814,-0.26508569747036,0.529960201257793,3.05589624751273,0.824558979932872,-0.231124059963149,0.236674346075537,0.18931633378123,-0.0549423403357135,0.512850100167553,2.64956621424405,0.439476674801215,-0.132068294577594,0.502907500787479,0.196511593113473
NorthDakota,25,-1.11457298878002,1.09021791872014,-0.676352748933936,1.04871485768116,-4.61586927341943,24,0.474688746461677,0.000110293115086479,-0.63416212405474,-0.242278355637435,-0.923173854683885,0.254010090585319,-0.89396946530379,0.245974540667729,-0.436951307553656,0.471246060793242,-0.358232208080333,0.518042794174622,-1.30886504025807,24,0.300715112147093,0.202974923876285,-0.202848196957362,0.0454099980107162,-0.261773008051614,0.21287461501941,-0.253491880052212,0.206140376268364,-0.377259414827992,0.557681466649014,-0.471166030708233,0.530465010050825,-0.462428477124743,0.596791522128036,0.642605805409247,0.458347140660268,0.576155502409674,1.01928734066724,24,0.460648396843469,0.318232179585227,-0.0962396968520567,0.28405292861254,0.203857468133449,0.211316723336354,0.197408484719108,0.204631768125015,0.707705605558017,24,0.601726633418399,0.485944518046559,-0.163211484344351,0.333549608937853,0.141541121111603,0.210064996963301,0.137063500787689,0.203419639823561,-0.0836509847188662,24,0.522262446333176,0.934027760326138,-0.224316895939366,0.206841788772384,-0.0167301969437732,0.208909604128672,-0.0162009410690833,0.202300797571532,-0.0939066158802418,0.460648396843469,1.60463124006613,0.606879463449454,-0.281694719311641,0.172511139737963,0.196282831257286,-0.0939066158802418,0.460648396843469,1.55806672382356,0.365934306797197,-0.295033033863513,0.152217841067329,0.194642768504526,-0.0939066158802418,0.460648396843469,1.80336933889777,0.725930885735788,-0.228475652779516,0.271984945202469,0.202071399342785,-0.0939066158802418,0.460648396843469,1.45245765747706,0.823457872358564,-0.290292905855754,0.159225211895891,0.195234298130598,0.00873755358349083,0.522262446333176,1.60463124006613,0.606879463449454,0.24475853162087,0.238326411549141,0.200428556728665
Ohio,19,-1.54393590367583,1.40748633850879,-0.797529492435758,0.982430804805853,-5.31094280905734,18,0.612604999597771,4.76024923932172e-05,-1.04167256957211,-0.451140252908044,-1.21841384208447,0.332507570932006,-1.16680966250844,0.318424687261371,-0.749632124650396,0.607964460753335,-0.819832179573554,1.01463191455672,0.394130580954942,18,0.776379606219986,0.698114904083082,-0.30400293703157,0.444403046877887,0.090419756470609,0.243912544223321,0.0865901567164334,0.233581976481728,-0.538825930365603,0.493834485632931,-0.895549827488376,0.84449217365994,-0.814520616097208,0.751549673227826,0.651839375449623,0.544131370458873,0.675252997708002,2.41850971917301,18,0.642926264044891,0.0264032032814709,0.0468433571338013,0.666604437111743,0.554844182097163,0.264309084950966,0.531344548540246,0.253114650833201,1.88879474870289,18,0.636239207674916,0.075142107750112,-0.0309627962571734,0.582352167720382,0.433319233404536,0.256330716932919,0.414966615630511,0.245474195207238,-0.544440909110501,18,0.648735497312181,0.59281949224424,-0.393709712188186,0.23165128940585,-0.124903310712741,0.244438473922606,-0.11961320922749,0.234085631179114,-0.356723897122772,0.642926264044891,2.2747789915492,0.448929181953111,-0.283602343096068,0.239345995452382,0.229892427747605,-0.356723897122772,0.642926264044891,1.73809410727013,0.155127270765053,-0.0962655970145658,0.695030437459985,0.247683233707857,-0.356723897122772,0.642926264044891,2.65900618357392,0.468666814192337,-0.273746919577607,0.25676983712914,0.231265656005443,-0.356723897122772,0.642926264044891,2.42723668380354,0.827249248653205,-0.288573955213763,0.230851357718652,0.229181268093071,0.0810292113911682,0.648735497312181,2.2747789915492,0.448929181953111,0.353999287892212,0.137031955016308,0.218671126042952
Reykjavik,24,-2.68605634028521,1.4854942738516,-2.25985065634285,1.2511458071607,-3.42987648674678,23,0.608760376746345,0.00228667010406758,-0.683262646517558,-0.169148721367162,-0.700120606108287,0.241374044198957,-0.676997107549186,0.233401971509561,-0.422902052738352,0.604834460628959,-0.459452352682724,0.439870088857536,0.51394679876623,23,0.348400204162424,0.61219191766689,-0.110566203795963,0.183666803684708,0.104908950992844,0.2142858532218,0.101444030869147,0.207208446022271,-0.347235316184726,0.682144901639932,-0.468140796025486,0.693342442665425,-0.453330046004843,0.642952840698674,0.747635268381001,0.594248610047105,0.790205809605632,1.21198163696915,23,0.488714884256548,0.237823587323309,-0.0854607169602249,0.327271676641744,0.247394715683124,0.217282096098905,0.239223792985353,0.210105729352624,0.869343524197033,23,0.597871716356921,0.393641281476229,-0.146364354717786,0.358553814358018,0.177454003789634,0.215513539155121,0.17159307445098,0.208395584093319,-0.16664013321693,23,0.435414681423285,0.869109542030003,-0.198670245057972,0.169048745016686,-0.034015274754241,0.213693063499363,-0.0328918223806003,0.206635234886969,-0.12090547984076,0.488714884256548,1.7473730216785,0.487191294976803,-0.298678540143326,0.156275396469498,0.198750918759593,-0.12090547984076,0.488714884256548,1.62087073346777,0.327133594243045,-0.121086074642515,0.573018440445727,0.215018414995797,-0.12090547984076,0.488714884256548,1.9600926714931,0.591662935790037,-0.340034998024949,0.104000062232962,0.192986708564712,-0.12090547984076,0.488714884256548,1.66115566007462,0.652078142673845,-0.300183848283261,0.154098263887801,0.198554201348249,0.0148107500206434,0.435414681423285,1.7473730216785,0.487191294976803,0.182973693239694,0.392113559923162,0.210912092220561
Sheffield,24,-1.83672097637077,1.73317007061083,-1.59255765625038,1.67074897669891,-2.326524850103,23,0.514136393748221,0.0291583484667719,-0.461264078932349,-0.0270625613084365,-0.474899896388121,0.226813712366527,-0.459214960144223,0.219322536552912,-0.24594170255573,0.517558360667407,-0.189196877256546,0.680385373915795,-0.707466494304184,23,0.392939789079571,0.48638404185843,-0.222668746293505,0.109179095695137,-0.144410993430073,0.214876995486637,-0.139641404634421,0.207780064112001,-0.0984549443350119,0.742847332328266,-0.325808861721041,0.593164490455399,-0.313561301611138,0.602419262442121,0.35323164959952,0.441521203751602,0.612549126866666,1.44713488069048,23,0.769660238377964,0.161352352476855,-0.0976450980718709,0.552352932843929,0.295395170556258,0.218821049389734,0.28563889465018,0.211593854280608,1.46197189883861,23,0.72080840428451,0.157278949310233,-0.0892643377982948,0.519477052350548,0.298423764203534,0.218926879319216,0.288567460273388,0.211696188872,-0.114006004499177,23,0.526292856154651,0.91022238841358,-0.234481542799796,0.209986422579991,-0.0232713782197023,0.213655963824425,-0.0225027739591839,0.206599360535601,-0.227353917386029,0.769660238377964,1.81724605000537,0.596534285278937,0.124501066537042,0.562163642653172,0.214835400430985,-0.227353917386029,0.769660238377964,1.57813188044433,0.253130498620477,0.327675644776009,0.118030292888213,0.194787545528853,-0.227353917386029,0.769660238377964,1.98565902039043,0.771726567429676,0.109884786840246,0.609254419184032,0.21558298201348,-0.227353917386029,0.769660238377964,1.88794724918136,0.869442474446938,0.0633299581499536,0.768769482763852,0.217342687322555,0.0122475601099023,0.526292856154651,1.81724605000537,0.596534285278937,0.0633956709808546,0.768535923683595,0.217340870113109
Zürich (Prof. Langer),30,-1.76287685803432,1.56842189298788,-0.964169585323118,1.45020192385173,-6.811697227839,29,0.642233463224759,1.76603354606897e-07,-1.03852118911073,-0.558893356311665,-1.24364007552761,0.257440417369031,-1.21114995939831,0.250714782499837,-0.799412610695179,0.640949892622153,-0.768416012784401,0.66374341455375,-0.549666370389463,29,0.308869830796103,0.586756777826653,-0.146330488189478,0.0843372923679237,-0.100354890054766,0.189739025362768,-0.0977331170062905,0.184782090402561,-0.421309895021518,0.626047428030257,-1.0704663251363,0.860197472050114,-0.906461611927719,0.652534021498705,0.630411017789338,0.617442497402213,0.851778077389702,5.28339214664354,29,0.672972231200502,1.15399199855926e-05,0.397864469116723,0.90044839111284,0.96461101962077,0.232670129933113,0.939410541874999,0.226591619204726,4.7476949514526,29,0.559700111062496,5.11271252798817e-05,0.276156260691275,0.694147173121127,0.866806540354661,0.224958247814448,0.844161206136227,0.2190812101252,-1.96247328154547,29,0.457734032897322,0.0593657208723501,-0.334925410095474,0.00691598367831395,-0.358296961601213,0.195785202535051,-0.348936447960431,0.190670311103087,-0.649156430114781,0.672972231200502,2.34624077747115,0.439364746078743,0.0593019742100265,0.755585762184053,0.191773295852575,-0.649156430114781,0.672972231200502,1.82712149232336,0.108135264699644,0.23223367989576,0.216861898358447,0.182070778714623,-0.649156430114781,0.672972231200502,2.66723186002643,0.502478274483003,0.0368005976726042,0.846907679847887,0.192189457654661,-0.649156430114781,0.672972231200502,2.54436898006368,0.849015249544806,0.0407076778357342,0.830875155388536,0.192131177792739,0.16400471320858,0.457734032897322,2.34624077747115,0.439364746078743,-0.263581080058823,0.159314919147717,0.179079622485424
Zürich (Prof. Sauseng),24,-1.67639655275228,1.06945538648893,-1.00739817113861,0.922648466861096,-4.72947309099239,23,0.692975577690572,9.13593528677481e-05,-0.961616304764336,-0.376380458463007,-0.965399652096243,0.263899017244986,-0.933514549344745,0.255182992474722,-0.664837203414761,0.695347825976273,-0.453734006975741,0.708352938720044,-2.17789102636345,23,0.474858574728182,0.0399223219366616,-0.411618386873755,-0.0105880060042856,-0.444560144164733,0.225224039575526,-0.429877265581615,0.217785367282264,-0.42768494898731,0.693078782842439,-0.811263556654294,0.849572485217877,-0.755563104602679,0.788970599009954,0.608490093724567,0.710144714944211,0.771121967949699,2.6967685810165,23,0.696813120447415,0.0128729859081644,0.089340232327727,0.67781698300624,0.550475581488323,0.23117234554401,0.532294540672911,0.223537213321856,2.81242881575486,23,0.571132093771377,0.00988353118612673,0.0867102234336448,0.569046087797093,0.574084628041614,0.232646863238377,0.555123830496871,0.224963030824451,-0.489703199334486,23,0.557226034684833,0.628982234996308,-0.29099637047107,0.179595466367841,-0.0999602469814941,0.214224907395189,-0.0966587720543493,0.207149513107036,-0.383578607666983,0.696813120447415,2.36415504548818,0.568049162392601,-0.0636794239984615,0.767527622320661,0.217333001625153,-0.383578607666983,0.696813120447415,1.77410103585026,0.201153985950713,-0.0797401137691906,0.711098054839008,0.216830354891858,-0.383578607666983,0.696813120447415,2.65498558658628,0.661113602795801,-0.071654892418105,0.739342392087067,0.217097467148797,-0.383578607666983,0.696813120447415,2.66337851402801,0.925253148283742,-0.0487510522566312,0.82103429973019,0.217699259392918,0.0557004520516145,0.557226034684833,2.36415504548818,0.568049162392601,-0.0256241225463102,0.905394352895983,0.218074609317143
