Lab,num_subs,on_m_contra,on_sd_contra,on_m_ipsi,on_sd_ipsi,on_t_stat,on_df,on_sd,on_p,on_ci1,on_ci2,on_cohensd,on_cohensd_se,on_gz,on_gz_se,corrincorr_m_corr,corrincorr_sd_corr,corrincorr_m_incorr,corrincorr_sd_incorr,corrincorr_t_stat,corrincorr_df,corrincorr_sd,corrincorr_p,corrincorr_ci1,corrincorr_ci2,corrincorr_cohensd,corrincorr_cohensd_se,corrincorr_gz,corrincorr_gz_se,setsize2_m,setsize2_sd,setsize4_m,setsize4_sd,setsize6_m,setsize6_sd,corr_2_4,corr_2_6,corr_4_6,ph_2_4_t_stat,ph_2_4_df,ph_2_4_sd,ph_2_4_p,ph_2_4_ci1,ph_2_4_ci2,ph_2_4_cohensd,ph_2_4_cohensd_se,ph_2_4_gz,ph_2_4_gz_se,ph_2_6_t_stat,ph_2_6_df,ph_2_6_sd,ph_2_6_p,ph_2_6_ci1,ph_2_6_ci2,ph_2_6_cohensd,ph_2_6_cohensd_se,ph_2_6_gz,ph_2_6_gz_se,ph_4_6_t_stat,ph_4_6_df,ph_4_6_sd,ph_4_6_p,ph_4_6_ci1,ph_4_6_ci2,ph_4_6_cohensd,ph_4_6_cohensd_se,ph_4_6_gz,ph_4_6_gz_se,wm_corr_2_4_amp_m,wm_corr_2_4_amp_sd,wm_corr_2_4_wm_m,wm_corr_2_4_wm_sd,wm_corr_2_4_r,wm_corr_2_4_p,wm_corr_2_4_r_se,wmk2_corr_2_4_amp_m,wmk2_corr_2_4_amp_sd,wmk2_corr_2_4_wm_m,wmk2_corr_2_4_wm_sd,wmk2_corr_2_4_r,wmk2_corr_2_4_p,wmk2_corr_2_4_r_se,wmk4_corr_2_4_amp_m,wmk4_corr_2_4_amp_sd,wmk4_corr_2_4_wm_m,wmk4_corr_2_4_wm_sd,wmk4_corr_2_4_r,wmk4_corr_2_4_p,wmk4_corr_2_4_r_se,wmk6_corr_2_4_amp_m,wmk6_corr_2_4_amp_sd,wmk6_corr_2_4_wm_m,wmk6_corr_2_4_wm_sd,wmk6_corr_2_4_r,wmk6_corr_2_4_p,wmk6_corr_2_4_r_se,wm_corr_4_6_amp_m,wm_corr_4_6_amp_sd,wm_corr_4_6_wm_m,wm_corr_4_6_wm_sd,wm_corr_4_6_r,wm_corr_4_6_p,wm_corr_4_6_r_se
Dartmouth,28,-1.52302757289804,1.54820132160354,-0.92328448240809,1.78838837203344,-3.80838434881137,27,0.833304058956634,0.00073312784387225,-0.922864672349079,-0.276621508630821,-0.719716991707539,0.222813833589753,-0.699506359478049,0.216556918026816,-0.610381803305657,0.802906090998659,-0.705305658238944,0.914087313554698,0.469742851981481,27,1.0692867920466,0.642310552882332,-0.319702278221251,0.509549988087825,0.088773054749516,0.196824580238526,0.0862801866053665,0.191297478265447,-0.347552606039789,1.46676841084965,-1.13485115301363,1.39836137146115,-0.348741650863547,1.6875131547818,-0.489520663838944,0.767864382910272,-0.624162408244834,1.68470350533844,27,2.47283412927529,0.103572468306343,-0.171566427867535,1.74616352181522,0.31837903628602,0.201838044646407,0.309438519824557,0.196170157772443,0.00574869272705615,27,1.09448079789195,0.995455497472408,-0.423206303942558,0.425584393590074,0.00108640080853688,0.196396165454655,0.00105589319589449,0.190881093951523,-1.49431904597109,27,2.78367628594645,0.146688511343126,-1.86550648243717,0.293287478136997,-0.282399755359058,0.200689958267322,-0.274469586052205,0.195054311220739,-0.787298546973845,2.47283412927529,2.24119479840682,0.49418501962032,0.0547200926622869,0.782120026062357,0.199401142291806,-0.787298546973845,2.47283412927529,1.7094257737042,0.180587031817652,-0.110128477884596,0.576927664412123,0.197574343671764,-0.787298546973845,2.47283412927529,2.52966332949399,0.561454955838489,0.040673248904775,0.837185506177801,0.199669137364706,-0.787298546973845,2.47283412927529,2.48449529202225,0.873405549626401,0.089508393899479,0.650584048795102,0.198397649484307,0.786109502150087,2.78367628594645,2.24119479840682,0.49418501962032,-0.26994236772973,0.164764351792144,0.185426223620893
Florida,50,-0.693705359435636,2.03536724773924,-0.811744851208848,2.08974291346927,0.789757793609735,49,1.05686231596592,0.433474505104194,-0.182317455116236,0.41839643866266,0.111688618271274,0.144874680571525,0.109968856722396,0.142643925917119,0.120146585364888,1.08082889153505,-0.760115563024817,2.96137295482423,1.94209963827923,49,3.20498146480117,0.0578848768151377,-0.0305835058288826,1.79110780260829,0.274654364793437,0.147252219148462,0.270425285563036,0.144984855576433,-0.0514479289307785,3.79738886148859,0.281031364882057,2.82014897106036,0.130856320143387,1.90564158995881,-0.338977737537583,-0.678479122454408,0.147816317079041,-0.431873137173218,49,5.44369035772827,0.66772810949273,-1.87955897577163,1.21460038814596,-0.0610760847814981,0.144541392161161,-0.060135646052924,0.142315769422626,-0.244176514009147,49,5.27931899112272,0.808113659376518,-1.68267010551013,1.3180616073618,-0.034531773772472,0.144444515726861,-0.0340000596402029,0.142220384674491,0.3358700792071,49,3.16163299661562,0.73840281543861,-0.748351111131027,1.04870120060837,0.0474992021210007,0.144485129131137,0.0467678178253182,0.142260372720767,0.332479293812836,5.44369035772827,1.44892001374629,1.04975215409269,0.099744078242967,0.490710118827852,0.144413798034333,0.332479293812836,5.44369035772827,1.27040140618185,0.890253718500957,0.153966632955162,0.285722001153443,0.142407156258913,0.332479293812836,5.44369035772827,1.6676378836258,1.24825325489585,0.0813023730213326,0.574603666543638,0.144900812838936,0.332479293812836,5.44369035772827,1.40872075143121,1.1342403310851,0.0666211222098781,0.645746840469434,0.145217588123132,-0.15017504473867,3.16163299661562,1.44892001374629,1.04975215409269,-0.0264098102029486,0.85554042403153,0.145763253864421
Mainz,25,-2.35600955906795,1.39560276584102,-2.088802906542,1.34046367369554,-2.70259384580393,24,0.494352218223277,0.0124325147489235,-0.471265218951679,-0.0631480861002208,-0.540518769160786,0.225379428801911,-0.523419584081257,0.218249603186076,-0.258919853876153,0.492925927066963,-0.291994370130823,0.68512604795631,0.455730401649564,24,0.362873709269268,0.652680548789864,-0.116712389068024,0.182861421577364,0.0911460803299128,0.209379906497739,0.0882626953565204,0.202756222034944,-0.00116905126698458,0.518844836634968,-0.438465687990775,0.541896942449841,-0.337124822370698,0.589534115300184,0.666434462986961,0.617312917483251,0.820097398576681,5.04137652992808,24,0.433707573841969,3.74319627505226e-05,0.258270949159866,0.616322324287714,1.00827530598562,0.261818762298649,0.976378752060329,0.253536186874324,3.43523026951575,24,0.488985809896045,0.0021618118099056,0.134112349163521,0.537799193043906,0.687046053903149,0.234954726504216,0.665311512377256,0.2275219885809,-1.48000384886108,24,0.342366898903887,0.151880603877,-0.242662975659433,0.0399812444192792,-0.296000769772215,0.213970660718164,-0.286636854521175,0.207201748817308,-0.43729663672379,0.433707573841969,2.08825748276887,0.688370075880554,-0.427992325165607,0.0328165016107787,0.174147156974009,-0.43729663672379,0.433707573841969,1.67282781805003,0.36861344496408,-0.16453654533266,0.431900672581655,0.207428887985533,-0.43729663672379,0.433707573841969,2.36007429886019,0.775777854040866,-0.452815518493743,0.0230272921242703,0.169485637716936,-0.43729663672379,0.433707573841969,2.2318703313964,1.03186276259592,-0.457344436825458,0.021527868215292,0.168606815813397,0.101340865620077,0.342366898903887,2.08825748276887,0.688370075880554,-0.255447135519598,0.21779274527153,0.199288679046657
Münster,30,-2.66874600322045,1.62183447002103,-1.97865439502166,1.47082796363347,-6.85896526585942,29,0.551072539231082,1.55675499158292e-07,-0.895865476146545,-0.484317740251035,-1.25226999908521,0.258263347174061,-1.21955442607004,0.251516213251035,-0.689357633038613,0.551341221635453,-0.53147181424652,0.975407620666046,-1.24601497886272,29,0.694033586510605,0.222731341162004,-0.417042219111387,0.1012705815272,-0.227490170304144,0.191890912568032,-0.221546986100852,0.186877759521441,-0.499648127143371,0.594131301577708,-0.772057896342881,0.6053757245735,-0.796366875629588,0.739926624083114,0.542590670027908,0.502478198249491,0.710739880054618,2.60063051640696,29,0.57372615807604,0.0144929535074474,0.0581769009552686,0.486642637443751,0.474807999190801,0.200609852093225,0.462403632898339,0.195368916617239,2.39963690446026,29,0.677267262720141,0.0230581751548484,0.0438229963611559,0.549614500611278,0.438111754131584,0.19895792458462,0.426666077806536,0.193760145740241,0.252870031945268,29,0.526538324958062,0.802152541386404,-0.172303662490964,0.220921621064378,0.0461675402044918,0.189326343743558,0.0449614125055176,0.18438019009701,-0.27240976919951,0.57372615807604,2.5694133918787,0.672061425456155,-0.216274269875705,0.251010845187509,0.183448321497314,-0.27240976919951,0.57372615807604,1.80852799311182,0.391766299996943,-0.166745602528985,0.378488745836526,0.187099188966985,-0.27240976919951,0.57372615807604,2.92873214182525,0.719619753806862,-0.120439751749025,0.526107354895925,0.189658459958205,-0.27240976919951,0.57372615807604,2.97098004069903,1.01989605125735,-0.278511373497862,0.136140432687776,0.177522008554139,-0.0243089792867071,0.526538324958062,2.5694133918787,0.672061425456155,-0.0898046177034485,0.636973229996132,0.190898004897718
NorthDakota,28,-1.20422785880553,1.04019725265692,-0.845965261502982,1.04862602927593,-3.55027502295951,27,0.533972005204527,0.00143506691861184,-0.565315325698242,-0.151209868906853,-0.670938914045357,0.219535276138222,-0.652098036594274,0.21337042692867,-0.357724228249002,0.529871662734614,-0.211304691737439,0.650753229495227,-1.56037283263356,27,0.496534767318539,0.130317773736805,-0.338955619516974,0.0461165464938485,-0.29488274769213,0.201073436153138,-0.286602038978712,0.195427020525837,-0.337452072936296,0.619788623030861,-0.385258432015501,0.587054976598899,-0.350462179795209,0.64385904559771,0.78041270070921,0.471249250681714,0.581423109859892,0.630715751627453,27,0.401080001203906,0.533529227755023,-0.107716229642293,0.203328947800703,0.119194073341244,0.197167888390883,0.115846941610313,0.191631145857851,0.105902023130805,27,0.650063261521349,0.916442989008181,-0.239058111354595,0.265078325072421,0.0200136011816228,0.196417901745404,0.019451592033958,0.190902219857658,-0.325664920727028,27,0.565380082856003,0.747188385527294,-0.254027761728137,0.184435257287554,-0.0615448850700915,0.196602162727521,-0.0598166209717175,0.191081306540728,-0.0478063590792048,0.401080001203906,1.54301468039221,0.662289844431867,-0.162794046282772,0.407844119228296,0.194699619698977,-0.0478063590792048,0.401080001203906,1.4963485033053,0.461345427988306,-0.144641386730183,0.462735140832813,0.195815773848954,-0.0478063590792048,0.401080001203906,1.72407289917438,0.787643557313808,-0.0954239739250685,0.629081665519635,0.19817885304007,-0.0478063590792048,0.401080001203906,1.40862263869696,0.838549659461827,-0.216517659951657,0.268440781082116,0.190624020585812,0.0347962522202915,0.565380082856003,1.54301468039221,0.662289844431867,0.230438031242836,0.238107733276718,0.189379662751385
Ohio,24,-1.79977912833039,1.55579552295691,-1.0974179832044,1.65193165131084,-2.2574399018166,23,1.52422788250627,0.0337801469065824,-1.34598613242168,-0.0587361578302901,-0.46079799037077,0.226063177516043,-0.44557881017037,0.218596790276543,-0.691323965989388,1.54045921831644,-1.03681040540319,1.18550000261916,1.11125379857524,23,1.5230822890321,0.277941144761323,-0.297654806183079,0.988627685010689,0.226833731769908,0.21670334224518,0.219341894757863,0.209546090511064,-0.288407275712252,2.31690697811985,-0.956722425369842,1.20405019997836,-0.82884219688607,1.31398971314002,0.833678749255922,0.876854774140377,0.891975949148748,2.22441708307261,23,1.47187424201187,0.0362173177098362,0.0467971659043636,1.28983313341082,0.454057235721502,0.225711555132458,0.439060688349018,0.218256781234444,1.99816035605411,23,1.32500856805234,0.0576568899667762,-0.0190671274156003,1.09993696976324,0.407872774715878,0.223428461679269,0.394401602126251,0.216049093515231,-1.0531001715615,23,0.59489366051722,0.303233488053329,-0.379081790328386,0.123321333360843,-0.214963172363592,0.216391418467428,-0.207863394749505,0.209244468914055,-0.66831514965759,1.47187424201187,2.29936675842738,0.447300582856299,0.0366869025056527,0.864860204608297,0.217924184489475,-0.66831514965759,1.47187424201187,1.75768238311354,0.154824297665203,0.16439706431847,0.44270761381934,0.212320247391537,-0.66831514965759,1.47187424201187,2.67723812628039,0.463390477918958,0.0691845402243605,0.748039699543934,0.217173390172126,-0.66831514965759,1.47187424201187,2.46317976588821,0.828440899723024,-0.00999696968287678,0.963022150931406,0.218196081670353,0.127880228483772,0.59489366051722,2.29936675842738,0.447300582856299,0.370005586683423,0.0751315510058269,0.188342958911314
Reykjavik,30,-2.26741347113051,2.2325392268675,-1.90833783178684,2.15054623337783,-2.73766524308604,29,0.718399840944099,0.0104612037355203,-0.627330548598244,-0.0908207300891049,-0.499827002845363,0.201803748308025,-0.48676901469705,0.196531622275037,-0.359894690146646,0.710028806714996,-0.316915366144637,1.15679439339829,-0.308068245133932,29,0.764140596574297,0.760232334562184,-0.328314112108848,0.242355464104829,-0.0562453090369619,0.189380039927916,-0.0547758994720088,0.184432483467725,-0.1708328775639,1.55959830160139,-0.412348995069071,0.711266376046475,-0.496502197806969,0.689958741065213,0.35048780422369,-0.0565553421985907,0.475916707641482,0.899939612749194,29,1.46991891105384,0.375565039707358,-0.307360624419115,0.790392859429458,0.164305742098399,0.190615771766908,0.16001325205523,0.185635931793388,1.02472830779517,29,1.74071928751829,0.313963682037735,-0.324325944089448,0.975664584575585,0.187088936497837,0.191029083367395,0.182201235150047,0.186038445621947,0.642387146646365,29,0.717520698639164,0.525668172265055,-0.183773429384926,0.352079834860721,0.117283310289864,0.189930218962689,0.114219282001993,0.184968289066739,-0.241516117505171,1.46991891105384,1.60825611054907,0.719538407227361,0.495500224890693,0.00536508067094849,0.145199652696152,-0.241516117505171,1.46991891105384,1.49038877305684,0.649458776847612,0.642302692147908,0.000129895399425091,0.113054276293449,-0.241516117505171,1.46991891105384,1.83454484001913,0.83821110512075,0.466475963236159,0.00936523532788992,0.150572984022542,-0.241516117505171,1.46991891105384,1.49983471857124,0.773800574469428,0.337864668180754,0.0678430452422102,0.170481424317741,-0.0841532027378974,0.717520698639164,1.60825611054907,0.719538407227361,0.464313695724976,0.00974403451831768,0.15096031219839
Sheffield,25,-1.70519638682632,2.11952008340825,-1.45213725767903,2.1338895615521,-2.24555853636102,24,0.563465892894036,0.0342104614667615,-0.485646418321387,-0.0204718399732063,-0.449111707272203,0.220406769089515,-0.43490416325675,0.213434252402825,-0.25682666551191,0.566045849222239,-0.271186334933628,0.816591665788987,0.144607876601173,24,0.496503709176298,0.886227991147689,-0.19058698882067,0.219306327664107,0.0289215753202345,0.208942244167967,0.0280066480366547,0.202332405050803,-0.0531392543528293,0.785178118088989,-0.430788967376922,0.756285544620812,-0.286551774805979,0.604450307906766,0.53587353013509,0.354674207348689,0.390208225270457,2.54138460795723,24,0.742999921856868,0.0179190285423489,0.0709544190220681,0.684345007026118,0.508276921591445,0.223533515777963,0.492197699832987,0.216462085189716,1.45292944377703,24,0.803247953480696,0.159194139011676,-0.0981519387107435,0.564976979617042,0.290585888755406,0.213788697282631,0.281393272001241,0.207025541752578,-0.946497982374494,24,0.761951928355377,0.353327654817388,-0.458755490363417,0.170281105221529,-0.189299596474899,0.21098459641524,-0.183311147931974,0.204310147961516,-0.377649713024093,0.742999921856868,1.89389983329365,0.698513422271673,0.183962719251087,0.378713252242497,0.205985517574271,-0.377649713024093,0.742999921856868,1.58864413187901,0.25331391861747,0.324352036553739,0.113685479206521,0.19077109625291,-0.377649713024093,0.742999921856868,2.05841499575715,0.838500217479195,0.164726481660043,0.431361916151807,0.207415554623782,-0.377649713024093,0.742999921856868,2.03464037224479,1.12356794760092,0.147045143151955,0.483045814577308,0.208590832023013,0.144237192570944,0.761951928355377,1.89389983329365,0.698513422271673,-0.00588696964282503,0.977719548325163,0.213193327583836
Zürich (Prof. Langer),40,-1.75697984856711,1.66816523328851,-1.05883644401631,1.59741910792811,-7.30504163655122,39,0.604438250087007,8.19979706356833e-09,-0.891452135085987,-0.504834674015602,-1.15502849869329,0.212659364016834,-1.1326489421852,0.208538926937253,-0.698343254338232,0.603312680399854,-0.673637161994376,0.650950983111866,-0.471796785568314,39,0.33119142087805,0.639700882096521,-0.13062624733879,0.0812140626510781,-0.0745976217570965,0.162573286883816,-0.0731522360429166,0.159423305680203,-0.388247639579853,0.611712048311485,-0.931724799441231,0.753948082188277,-0.775057323993612,0.639948949735115,0.714413340868212,0.596393130040599,0.826760637239705,6.4538002077915,39,0.532593394932352,1.21477760739452e-07,0.373145528712983,0.713808791009774,1.02043541101445,0.20268667824944,1.00066369804851,0.198759469549004,4.34649977431849,39,0.562843523418889,9.58882819117601e-05,0.206803592829716,0.566815775997802,0.687241956812713,0.181749119937078,0.673926120688653,0.178227592369119,-2.33437347778245,39,0.42446169166865,0.0248191913371636,-0.29241691017561,-0.0209180407196282,-0.36909685496405,0.168162296293512,-0.361945322398429,0.164904023777563,-0.543477159861378,0.532593394932352,2.24393825897153,0.573182355080281,0.0677898797894074,0.677685029672087,0.163643497052537,-0.543477159861378,0.532593394932352,1.75489362629353,0.306541530805475,0.101859442571515,0.531696986983035,0.162693290923278,-0.543477159861378,0.532593394932352,2.5486664128195,0.673343621976396,0.0408080302390435,0.802577605617582,0.164125214439214,-0.543477159861378,0.532593394932352,2.42825473780157,0.903650485969289,0.064035723328463,0.69464571016214,0.163724857115041,0.156667475447619,0.42446169166865,2.24393825897153,0.573182355080281,-0.186469872701096,0.249287570663006,0.15868266791068
Zürich (Prof. Sauseng),24,-1.63764802745524,1.13717278427914,-0.973727178702937,0.95953588344519,-4.69431395277046,23,0.692866870601563,9.97201567423112e-05,-0.956492868925079,-0.37134882857952,-0.958222823059599,0.263224368499249,-0.926574755748052,0.254530625946025,-0.660707100235299,0.693906230776635,-0.418783838455834,0.709919640028007,-2.53094208493245,23,0.468275075749324,0.0186720580105926,-0.439658484405408,-0.0441880391535199,-0.516626389718358,0.229151055063997,-0.499563315907904,0.221582681778939,-0.420310309403634,0.723472024001105,-0.826711840442309,0.824352355984329,-0.735099150859951,0.775186472392096,0.616836311509624,0.727404998140573,0.765240168178514,2.91275714938382,23,0.683528581805183,0.00783581875478179,0.117772724395129,0.695030337682221,0.59456406338617,0.233968100615519,0.574926873531945,0.226240630533569,2.77680872020282,23,0.55536561282012,0.010725832708302,0.080278510292404,0.549299172620229,0.566813706483975,0.232187161598064,0.548093052055567,0.224518512154222,-0.816079289275289,23,0.549957207320007,0.422826624989154,-0.323839251395735,0.140613872231018,-0.1665814873648,0.215289877394765,-0.161079654181423,0.208179309406488,-0.406401531038675,0.683528581805183,2.36415504548818,0.568049162392601,-0.0247300745436693,0.908681541916046,0.218084433283474,-0.406401531038675,0.683528581805183,1.77410103585026,0.201153985950713,-0.0540613235506773,0.80189909747113,0.217580120802687,-0.406401531038675,0.683528581805183,2.65498558658628,0.661113602795801,-0.0396599271436068,0.854018935495012,0.217874653173314,-0.406401531038675,0.683528581805183,2.66337851402801,0.925253148283742,-0.00545723768912467,0.979809471330559,0.21821139139229,0.0916126895823586,0.549957207320007,2.36415504548818,0.568049162392601,-0.133654534532805,0.533534096689275,0.214319747403165
