Lab,sub_rejected_excl_ET_Sacc,avg_excl_ET_Sacc,sd_excl_ET_Sacc,sub_rejected_excl_ET_Blink,avg_excl_ET_Blink,sd_excl_ET_Blink,sub_rejected_excl_AmpThresh,avg_excl_AmpThresh,sd_excl_AmpThresh,sub_rejected_excl_HEOG,avg_excl_HEOG,sd_excl_HEOG,sub_rejected_excl_VEOG,avg_excl_VEOG,sd_excl_VEOG,sub_rejected_excl_blocking,avg_excl_blocking,sd_excl_blocking,sub_rejected_excl_total,avg_excl_total,sd_excl_total,all_excluded_subs_bad_trials_and_performance,N,sub_rejected_perf
Dartmouth,0,NaN,NaN,0,NaN,NaN,0,10.14,27.11,1,38.64,83.92,0,32.21,35.01,0,0,0,1,67.25,86.76,1,28,0
Florida,0,NaN,NaN,0,NaN,NaN,3,67.1,99.34,4,71.4,91.71,10,134.58,143.48,0,0,0,14,170.82,153.54,17,50,4
Mainz,0,NaN,NaN,0,NaN,NaN,0,3.52,6.95,10,174.84,123.76,5,128.68,152.34,0,0,0,14,248,168.32,14,25,0
Münster,0,19.53,20.08,0,21.97,22.33,1,38.47,134.37,1,35.27,93.58,0,36.67,43.52,0,0.43,2.03,1,68.87,131.79,2,30,1
NorthDakota,1,52.43,85.41,2,49.18,74.41,0,2.57,6.81,1,63.82,78.82,2,65.89,98.55,0,0,0,2,78.68,99.44,3,28,1
Ohio,4,100.25,109.43,3,82.42,94.46,0,8.88,14.74,0,13.96,17.78,1,35.21,61.92,0,0,0,5,138.58,125.45,5,24,0
Reykjavik,0,NaN,NaN,0,NaN,NaN,0,11.37,31.91,6,144.67,195.85,0,6.57,15.96,0,0,0,6,150.97,194.73,8,30,2
Sheffield,0,NaN,NaN,0,NaN,NaN,0,11.52,23.68,2,106.76,93.47,5,135.68,127.77,0,0,0,9,194.52,141.98,9,25,0
Zürich (Prof. Langer),10,148.45,163.04,3,46.88,106.69,0,2.75,7.53,3,86.83,114.73,2,66.65,105.35,0,0,0,10,165.08,172.74,10,40,0
Zürich (Prof. Sauseng),0,NaN,NaN,0,NaN,NaN,0,11.21,25.74,2,111.71,119.02,3,87.42,137.2,0,0,0,4,145.67,144.08,4,24,0
