Lab,sub_rejected_excl_ET_Sacc,avg_excl_ET_Sacc,sd_excl_ET_Sacc,sub_rejected_excl_ET_Blink,avg_excl_ET_Blink,sd_excl_ET_Blink,sub_rejected_excl_AmpThresh,avg_excl_AmpThresh,sd_excl_AmpThresh,sub_rejected_excl_HEOG,avg_excl_HEOG,sd_excl_HEOG,sub_rejected_excl_VEOG,avg_excl_VEOG,sd_excl_VEOG,sub_rejected_excl_blocking,avg_excl_blocking,sd_excl_blocking,sub_rejected_excl_total,avg_excl_total,sd_excl_total,N,sub_rejected_perf
Dartmouth,0,NaN,NaN,0,NaN,NaN,2,48.18,109.06,3,81.89,126.94,2,76.79,122.39,0,0,0,5,134.64,147.93,28,0
Florida,0,NaN,NaN,0,NaN,NaN,5,99.14,130.42,8,97.44,129.18,15,165.24,151.02,0,0,0,23,223.84,173.5,50,4
Mainz,0,NaN,NaN,0,NaN,NaN,0,3.56,6.93,10,174.96,123.82,5,129.12,152.28,0,0,0,14,248.24,168.38,25,0
Münster,0,19.53,20.08,0,21.97,22.33,2,40.27,98.91,0,36.27,46.43,0,34.27,36.03,0,0.1,0.4,3,93.37,105.38,30,1
NorthDakota,1,52.43,85.41,2,49.18,74.41,0,5.29,11.44,1,63.68,78.58,2,78.93,97.46,0,0,0,5,118.14,111.69,28,1
Ohio,4,100.25,109.43,3,82.42,94.46,0,15.71,32.92,1,26.21,59.38,3,76.04,89.99,0,0,0,4,102.96,102.91,24,0
Reykjavik,0,NaN,NaN,0,NaN,NaN,0,11.8,32.44,1,79.6,82.64,2,79.83,121,0,0,0,4,133.4,137.66,30,2
Sheffield,0,NaN,NaN,0,NaN,NaN,0,11.92,24.8,2,106.96,93.48,5,135.6,127.05,0,0,0,10,194.6,141.61,25,0
Zürich (Prof. Langer),10,148.45,163.04,3,46.88,106.69,2,41.1,88.56,3,86.98,114.74,5,103.98,131.67,0,0,0,10,156.13,146.38,40,0
Zürich (Prof. Sauseng),0,NaN,NaN,0,NaN,NaN,0,11.33,25.82,2,119.71,115.23,3,93.17,137.66,0,0,0,4,155.33,143.33,24,0
