Lab,sub_rejected_excl_ET_Sacc,avg_excl_ET_Sacc,sd_excl_ET_Sacc,sub_rejected_excl_ET_Blink,avg_excl_ET_Blink,sd_excl_ET_Blink,sub_rejected_excl_AmpThresh,avg_excl_AmpThresh,sd_excl_AmpThresh,sub_rejected_excl_HEOG,avg_excl_HEOG,sd_excl_HEOG,sub_rejected_excl_VEOG,avg_excl_VEOG,sd_excl_VEOG,sub_rejected_excl_blocking,avg_excl_blocking,sd_excl_blocking,sub_rejected_excl_total,avg_excl_total,sd_excl_total,N,sub_rejected_perf
Dartmouth,0,NaN,NaN,0,NaN,NaN,0,10.18,27.17,1,36.75,81.7,0,31.86,35.47,0,0,0,0,0,0,28,0
Florida,0,NaN,NaN,0,NaN,NaN,3,60.22,96.66,2,40.56,75.12,6,83.64,150.88,0,0,0,0,0,0,50,4
Mainz,0,NaN,NaN,0,NaN,NaN,0,1.36,2.97,0,4.52,11.72,0,3.72,7.23,0,0,0,0,0,0,25,0
Münster,0,19.53,20.08,0,21.97,22.33,1,32.83,132.98,1,24.2,131.42,1,28.2,130.24,0,0.47,2.37,0,0,0,30,1
NorthDakota,1,52.43,85.41,2,49.18,74.41,0,2.25,6.54,0,6.32,23.76,0,6.86,12.75,0,0,0,0,0,0,28,1
Ohio,4,100.25,109.43,3,82.42,94.46,0,8.21,14.69,0,11.33,18.89,0,6.58,15.08,0,0,0,0,0,0,24,0
Reykjavik,0,NaN,NaN,0,NaN,NaN,0,9.77,31.05,4,86.87,165.68,0,4.47,14.74,0,0,0,0,0,0,30,2
Sheffield,0,NaN,NaN,0,NaN,NaN,0,10.68,23.74,0,8.96,16.66,1,32.68,61.54,0,0,0,0,0,0,25,0
Zürich (Prof. Langer),10,148.45,163.04,3,46.88,106.69,0,2.3,6.35,2,44.68,152.02,0,9.1,19.83,0,0,0,0,0,0,40,0
Zürich (Prof. Sauseng),0,NaN,NaN,0,NaN,NaN,0,1.63,3.31,0,22.58,25.69,0,3.58,8.64,0,0,0,0,0,0,24,0
