Lab,N,avgAcc2,sdAcc2,avgAcc4,sdAcc4,avgAcc6,sdAcc6,avgK2,sdK2,avgK4,sdK4,avgK6,sdK6,avgD2,sdD2,avgD4,sdD4,avgD6,sdD6
Dartmouth,28,0.91,0.06,0.8,0.08,0.69,0.08,1.71,0.18,2.53,0.56,2.48,0.87,3.24,0.88,2,0.58,1.29,0.45
Florida,50,0.75,0.24,0.65,0.18,0.56,0.12,1.27,0.89,1.67,1.25,1.41,1.13,2.19,1.69,1.26,1.02,0.73,0.65
Mainz,25,0.9,0.1,0.77,0.09,0.67,0.08,1.67,0.37,2.36,0.78,2.23,1.03,3.25,1.01,1.89,0.75,1.2,0.55
Münster,30,0.94,0.1,0.85,0.09,0.73,0.08,1.81,0.39,2.93,0.72,2.97,1.02,3.99,1.07,2.48,0.73,1.6,0.6
NorthDakota,28,0.84,0.12,0.68,0.1,0.59,0.08,1.5,0.46,1.72,0.79,1.41,0.84,2.76,1.23,1.32,0.62,0.74,0.41
Ohio,24,0.93,0.05,0.82,0.06,0.7,0.07,1.76,0.15,2.68,0.46,2.46,0.83,3.41,0.78,2.19,0.66,1.31,0.45
Reykjavik,30,0.86,0.16,0.72,0.11,0.61,0.07,1.49,0.65,1.83,0.84,1.5,0.77,2.75,1.36,1.43,0.69,0.83,0.43
Sheffield,25,0.88,0.08,0.74,0.11,0.64,0.1,1.59,0.25,2.06,0.84,2.03,1.12,2.78,0.7,1.68,0.93,1.18,0.76
Zürich (Prof. Langer),40,0.92,0.08,0.8,0.09,0.69,0.08,1.75,0.31,2.55,0.67,2.43,0.9,3.5,0.91,2.14,0.68,1.35,0.54
Zürich (Prof. Sauseng),24,0.92,0.07,0.81,0.09,0.7,0.09,1.77,0.2,2.65,0.66,2.66,0.93,3.58,0.96,2.2,0.72,1.44,0.54
