site,dependability_CDA2,ci_95_CDA2,dependability_CDA4,ci_95_CDA4,dependability_CDA6,ci_95_CDA6
Dartmouth,0.83,"(0.69, 0.92)",0.88,"(0.78, 0.94)",0.88,"(0.78, 0.94)"
Florida,0.51,"(0.31, 0.70)",0.50,"(0.28, 0.69)",0.51,"(0.29, 0.69)"
Mainz,0.84,"(0.69, 0.93)",0.87,"(0.75, 0.94)",0.88,"(0.77, 0.95)"
Mnster,0.79,"(0.63, 0.89)",0.74,"(0.56, 0.87)",0.81,"(0.67, 0.91)"
NorthDakota,0.80,"(0.64, 0.90)",0.75,"(0.57, 0.88)",0.82,"(0.67, 0.91)"
Ohio,0.75,"(0.54, 0.88)",0.84,"(0.71, 0.92)",0.86,"(0.75, 0.94)"
Reykjavik,0.82,"(0.68, 0.91)",0.84,"(0.71, 0.92)",0.78,"(0.60, 0.89)"
Sheffield,0.77,"(0.57, 0.89)",0.80,"(0.64, 0.90)",0.81,"(0.64, 0.91)"
ZrichProfLanger,0.85,"(0.74, 0.92)",0.91,"(0.85, 0.95)",0.86,"(0.76, 0.92)"
ZrichProfSauseng,0.90,"(0.80, 0.95)",0.93,"(0.86, 0.97)",0.92,"(0.84, 0.96)"
