site,dependability_CDA2,ci_95_CDA2,dependability_CDA4,ci_95_CDA4,dependability_CDA6,ci_95_CDA6
Dartmouth,0.83,"(0.69, 0.92)",0.88,"(0.78, 0.94)",0.87,"(0.77, 0.94)"
Florida,0.42,"(0.21, 0.62)",0.51,"(0.29, 0.70)",0.43,"(0.22, 0.64)"
Mainz,0.85,"(0.71, 0.93)",0.88,"(0.76, 0.94)",0.90,"(0.80, 0.95)"
Mnster,0.77,"(0.61, 0.89)",0.78,"(0.62, 0.89)",0.86,"(0.74, 0.93)"
NorthDakota,0.77,"(0.59, 0.88)",0.74,"(0.53, 0.87)",0.80,"(0.63, 0.90)"
Ohio,0.71,"(0.48, 0.87)",0.84,"(0.70, 0.92)",0.83,"(0.69, 0.92)"
Reykjavik,0.81,"(0.67, 0.90)",0.83,"(0.70, 0.92)",0.79,"(0.64, 0.89)"
Sheffield,0.85,"(0.72, 0.93)",0.82,"(0.66, 0.92)",0.78,"(0.60, 0.90)"
ZrichProfLanger,0.86,"(0.76, 0.92)",0.91,"(0.85, 0.95)",0.85,"(0.76, 0.92)"
ZrichProfSauseng,0.88,"(0.79, 0.95)",0.92,"(0.85, 0.96)",0.91,"(0.84, 0.96)"
