Lab,n_subj,CDA2,CDA4,CDA6
Dartmouth,28,0.3589541738960664,0.34127243979242633,0.3611666184402822
Florida,50,1.3027641817244462,1.2035730629171755,1.1648793049221915
Mainz,25,0.2861193323457854,0.2704678771539101,0.27844300284351003
Münster,29,0.40768106429860024,0.4039117168980362,0.40947429760630094
NorthDakota,28,0.35835245436395374,0.38014700861219536,0.3683642518864787
Ohio,24,0.4365043873346652,0.4431873654384333,0.46134218632527796
Reykjavik,30,0.4418404507271474,0.437812363792103,0.489123168571819
Sheffield,25,0.3889076561684222,0.3818933949481315,0.3958832367645947
Zürich (Prof. Langer),40,0.32880525213196843,0.3419925857645673,0.3453859424008501
Zürich (Prof. Sauseng),24,0.306664407394808,0.30588660641862736,0.3064391903977281
