ID,Lab,Hand,Sex,CDA2,CDA4,CDA6,K,D_prime
sub-Vog001,Dartmouth,r,f,NaN,NaN,NaN,2.79276791267099,2.58800220150584
sub-Vog002,Dartmouth,r,f,NaN,NaN,NaN,2.77101086617203,2.74421268998142
sub-Vog003,Dartmouth,r,f,NaN,NaN,NaN,1.99974363442821,1.73109063512027
sub-Vog004,Dartmouth,r,f,NaN,NaN,NaN,2.39118008601577,2.82729591385549
sub-Vog005,Dartmouth,r,f,NaN,NaN,NaN,2.23807602588893,2.05867841373431
sub-Vog006,Dartmouth,r,f,NaN,NaN,NaN,2.8329682042616,2.59042445159651
sub-Vog007,Dartmouth,r,f,NaN,NaN,NaN,2.70849820529076,2.42657688000991
sub-Vog008,Dartmouth,r,m,NaN,NaN,NaN,1.17868126948338,1.13508708577577
sub-Vog009,Dartmouth,r,m,NaN,NaN,NaN,2.67352872519019,2.5725030432647
sub-Vog010,Dartmouth,r,o,NaN,NaN,NaN,2.16793974380546,1.85399883512149
sub-Vog011,Dartmouth,r,f,NaN,NaN,NaN,1.86754396770878,2.39442847398863
sub-Vog012,Dartmouth,l,n/a,NaN,NaN,NaN,2.42030801019688,1.98110498777183
sub-Vog013,Dartmouth,r,f,NaN,NaN,NaN,1.67272352306618,1.9693552593427
sub-Vog014,Dartmouth,r,f,NaN,NaN,NaN,2.21631451500403,2.01740588838794
sub-Vog015,Dartmouth,r,f,NaN,NaN,NaN,2.15605010155291,2.0421828590382
sub-Vog016,Dartmouth,r,f,NaN,NaN,NaN,1.22947820666916,1.08890090305522
sub-Vog017,Dartmouth,r,n/a,NaN,NaN,NaN,2.10441230997405,2.22799745540601
sub-Vog018,Dartmouth,l,m,NaN,NaN,NaN,1.4733452450293,1.31212292447766
sub-Vog019,Dartmouth,r,f,NaN,NaN,NaN,1.83724173225526,1.57098826901982
sub-Vog020,Dartmouth,l,f,NaN,NaN,NaN,2.3886282586286,2.24576025058921
sub-Vog021,Dartmouth,r,m,NaN,NaN,NaN,3.45322340275804,3.43313396178619
sub-Vog022,Dartmouth,r,f,NaN,NaN,NaN,2.16160161632276,1.90819896739047
sub-Vog023,Dartmouth,n/a,n/a,NaN,NaN,NaN,2.43260265286313,2.0472530836238
